"issuekey","title","description","storypoint"
"MESOS-934","'Logging and Debugging' document is out-of-date.","The following is no longer correct: http://mesos.apache.org/documentation/latest/logging-and-debugging/  We should either delete this document or re-write it entirely.",1
"MESOS-998","Slave should wait until Containerizer::update() completes successfully","Container resources are updated in several places in the slave and we don't check the update was successful or even wait until it completes.",5
"MESOS-1081","Master should not deactivate authenticated framework/slave on new AuthenticateMessage unless new authentication succeeds.","Master should not deactivate an authenticated framework/slave upon receiving a new AuthenticateMessage unless new authentication succeeds. As it stands now, a malicious user could spoof the pid of an authenticated framework/slave and send an AuthenticateMessage to knock a valid framework/slave off the authenticated list, forcing the valid framework/slave to re-authenticate and re-register. This could be used in a DoS attack. But how should we handle the scenario when the actual authenticated framework/slave sends an AuthenticateMessage that fails authentication?",1
"MESOS-1119","Allocator should make an allocation decision per slave instead of per framework/role.","Currently the Allocator::allocate() code loops through roles and frameworks (based on DRF sort) and allocates *all* slaves resources to the first framework.  This logic should be a bit inversed. Instead, the slave should go through each slave, allocate it a role/framework and update the DRF shares.",2
"MESOS-1143","Add a TASK_ERROR task status.","During task validation we drop tasks that have errors and send TASK_LOST status updates. In most circumstances a framework will want to relaunch a task that has gone lost, and in the event the task is actually malformed (thus invalid) this will result in an infinite loop of sending a task and having it go lost.",2
"MESOS-1148","Add support for rate limiting slave removal","To safeguard against unforeseen bugs leading to widespread slave removal, it would be nice to allow for rate limiting of the decision to remove slaves and/or send TASK_LOST messages for tasks on those slaves.  Ideally this would allow an operator to be notified soon enough to intervene before causing cluster impact.",3
"MESOS-1236","stout's os module uses a mix of Try<Nothing> and bool returns","stout's os module should use Try<Nothing> for return values throughout.",2
"MESOS-1237","stout's os::ls should return a Try<>","stout's os::ls returns a list that can be empty - instead it should return a Try<list...> to be consistent.",2
"MESOS-1303","ExamplesTest.{TestFramework, NoExecutorFramework} flaky","I'm having trouble reproducing this but I did observe it once on my OSX system:  {noformat} [==========] Running 2 tests from 1 test case. [----------] Global test environment set-up. [----------] 2 tests from ExamplesTest [ RUN      ] ExamplesTest.TestFramework ../../src/tests/script.cpp:81: Failure Failed test_framework_test.sh terminated with signal 'Abort trap: 6' [  FAILED  ] ExamplesTest.TestFramework (953 ms) [ RUN      ] ExamplesTest.NoExecutorFramework [       OK ] ExamplesTest.NoExecutorFramework (10162 ms) [----------] 2 tests from ExamplesTest (11115 ms total)  [----------] Global test environment tear-down [==========] 2 tests from 1 test case ran. (11121 ms total) [  PASSED  ] 1 test. [  FAILED  ] 1 test, listed below: [  FAILED  ] ExamplesTest.TestFramework {noformat}  when investigating a failed make check for https://reviews.apache.org/r/20971/ {noformat} [----------] 6 tests from ExamplesTest [ RUN      ] ExamplesTest.TestFramework [       OK ] ExamplesTest.TestFramework (8643 ms) [ RUN      ] ExamplesTest.NoExecutorFramework tests/script.cpp:81: Failure Failed no_executor_framework_test.sh terminated with signal 'Aborted' [  FAILED  ] ExamplesTest.NoExecutorFramework (7220 ms) [ RUN      ] ExamplesTest.JavaFramework [       OK ] ExamplesTest.JavaFramework (11181 ms) [ RUN      ] ExamplesTest.JavaException [       OK ] ExamplesTest.JavaException (5624 ms) [ RUN      ] ExamplesTest.JavaLog [       OK ] ExamplesTest.JavaLog (6472 ms) [ RUN      ] ExamplesTest.PythonFramework [       OK ] ExamplesTest.PythonFramework (14467 ms) [----------] 6 tests from ExamplesTest (53607 ms total) {noformat}",1
"MESOS-1316","Implement decent unit test coverage for the mesos-fetcher tool","There are current no tests that cover the {{mesos-fetcher}} tool itself, and hence bugs like MESOS-1313 have accidentally slipped though.",2
"MESOS-1332","Improve Master and Slave metric names","As we move the metrics to a new endpoint, we should consider revisiting the names of some of the current metrics to make them clearer.  It may also be worth considering changing some existing counter-style metrics to gauges. ",3
"MESOS-1358","Show when the leading master was elected in the webui","This would be nice to have during debugging.",1
"MESOS-1365","SlaveRecoveryTest/0.MultipleFrameworks is flaky","--gtest_repeat=-1 --gtest_shuffle --gtest_break_on_failure  {noformat} [ RUN      ] SlaveRecoveryTest/0.MultipleFrameworks WARNING: Logging before InitGoogleLogging() is written to STDERR I0513 15:42:05.931761  4320 exec.cpp:131] Version: 0.19.0 I0513 15:42:05.936698  4340 exec.cpp:205] Executor registered on slave 20140513-154204-16842879-51872-13062-0 Registered executor on artoo Starting task 51991f97-f5fd-4905-ad0f-02668083af7c Forked command at 4367 sh -c 'sleep 1000' WARNING: Logging before InitGoogleLogging() is written to STDERR I0513 15:42:06.915061  4408 exec.cpp:131] Version: 0.19.0 I0513 15:42:06.931149  4435 exec.cpp:205] Executor registered on slave 20140513-154204-16842879-51872-13062-0 Registered executor on artoo Starting task eaf5d8d6-3a6c-4ee1-84c1-fae20fb1df83 sh -c 'sleep 1000' Forked command at 4439 I0513 15:42:06.998332  4340 exec.cpp:251] Received reconnect request from slave 20140513-154204-16842879-51872-13062-0 I0513 15:42:06.998414  4436 exec.cpp:251] Received reconnect request from slave 20140513-154204-16842879-51872-13062-0 I0513 15:42:07.006350  4437 exec.cpp:228] Executor re-registered on slave 20140513-154204-16842879-51872-13062-0 Re-registered executor on artoo I0513 15:42:07.027039  4337 exec.cpp:378] Executor asked to shutdown Shutting down Sending SIGTERM to process tree at pid 4367 Killing the following process trees: [  -+- 4367 sh -c sleep 1000   \--- 4368 sleep 1000  ] ../../src/tests/slave_recovery_tests.cpp:2807: Failure Value of: status1.get().state()   Actual: TASK_FAILED Expected: TASK_KILLED  Program received signal SIGSEGV, Segmentation fault. testing::UnitTest::AddTestPartResult (this=0x154dac0 <testing::UnitTest::GetInstance()::instance>, result_type=testing::TestPartResult::kFatalFailure, file_name=0xeb6b6c ""../../src/tests/slave_recovery_tests.cpp"", line_number=2807, message=..., os_stack_trace=...) at gmock-1.6.0/gtest/src/gtest.cc:3795 3795          *static_cast<volatile int*>(NULL) = 1; (gdb) bt #0  testing::UnitTest::AddTestPartResult (this=0x154dac0 <testing::UnitTest::GetInstance()::instance>, result_type=testing::TestPartResult::kFatalFailure, file_name=0xeb6b6c ""../../src/tests/slave_recovery_tests.cpp"", line_number=2807, message=..., os_stack_trace=...) at gmock-1.6.0/gtest/src/gtest.cc:3795 #1  0x0000000000df98b9 in testing::internal::AssertHelper::operator= (this=0x7fffffffb860, message=...) at gmock-1.6.0/gtest/src/gtest.cc:356 #2  0x0000000000cdfa57 in SlaveRecoveryTest_MultipleFrameworks_Test<mesos::internal::slave::MesosContainerizer>::TestBody (this=0x1954db0) at ../../src/tests/slave_recovery_tests.cpp:2807 #3  0x0000000000e22583 in testing::internal::HandleSehExceptionsInMethodIfSupported<testing::Test, void> (object=0x1954db0, method=&virtual testing::Test::TestBody(), location=0xed0af0 ""the test body"") at gmock-1.6.0/gtest/src/gtest.cc:2090 #4  0x0000000000e12467 in testing::internal::HandleExceptionsInMethodIfSupported<testing::Test, void> (object=0x1954db0, method=&virtual testing::Test::TestBody(), location=0xed0af0 ""the test body"") at gmock-1.6.0/gtest/src/gtest.cc:2126 #5  0x0000000000e010d5 in testing::Test::Run (this=0x1954db0) at gmock-1.6.0/gtest/src/gtest.cc:2161 #6  0x0000000000e01ceb in testing::TestInfo::Run (this=0x158cf80) at gmock-1.6.0/gtest/src/gtest.cc:2338 #7  0x0000000000e02387 in testing::TestCase::Run (this=0x158a880) at gmock-1.6.0/gtest/src/gtest.cc:2445 #8  0x0000000000e079ed in testing::internal::UnitTestImpl::RunAllTests (this=0x1558b40) at gmock-1.6.0/gtest/src/gtest.cc:4237 #9  0x0000000000e1ec83 in testing::internal::HandleSehExceptionsInMethodIfSupported<testing::internal::UnitTestImpl, bool> (object=0x1558b40, method=(bool (testing::internal::UnitTestImpl::*)(testing::internal::UnitTestImpl * const)) 0xe07700 <testing::internal::UnitTestImpl::RunAllTests()>,      location=0xed1219 ""auxiliary test code (environments or event listeners)"") at gmock-1.6.0/gtest/src/gtest.cc:2090 #10 0x0000000000e14217 in testing::internal::HandleExceptionsInMethodIfSupported<testing::internal::UnitTestImpl, bool> (object=0x1558b40, method=(bool (testing::internal::UnitTestImpl::*)(testing::internal::UnitTestImpl * const)) 0xe07700 <testing::internal::UnitTestImpl::RunAllTests()>,      location=0xed1219 ""auxiliary test code (environments or event listeners)"") at gmock-1.6.0/gtest/src/gtest.cc:2126 #11 0x0000000000e076d7 in testing::UnitTest::Run (this=0x154dac0 <testing::UnitTest::GetInstance()::instance>) at gmock-1.6.0/gtest/src/gtest.cc:3872 #12 0x0000000000b99887 in main (argc=1, argv=0x7fffffffd9f8) at ../../src/tests/main.cpp:107 (gdb) frame 2 #2  0x0000000000cdfa57 in SlaveRecoveryTest_MultipleFrameworks_Test<mesos::internal::slave::MesosContainerizer>::TestBody (this=0x1954db0) at ../../src/tests/slave_recovery_tests.cpp:2807 2807      ASSERT_EQ(TASK_KILLED, status1.get().state()); (gdb) p status1 $1 = {data = {<std::__shared_ptr<process::Future<mesos::TaskStatus>::Data, 2>> = {_M_ptr = 0x1963140, _M_refcount = {_M_pi = 0x198a620}}, <No data fields>}} (gdb) p status1.get() $2 = (const mesos::TaskStatus &) @0x7fffdc5bf5f0: {<google::protobuf::Message> = {<google::protobuf::MessageLite> = {_vptr$MessageLite = 0x7ffff74bc940 <vtable for mesos::TaskStatus+16>}, <No data fields>}, static kTaskIdFieldNumber = 1, static kStateFieldNumber = 2, static kMessageFieldNumber = 4,    static kDataFieldNumber = 3, static kSlaveIdFieldNumber = 5, static kTimestampFieldNumber = 6, _unknown_fields_ = {fields_ = 0x0}, task_id_ = 0x7fffdc5ce9a0, message_ = 0x7fffdc5f5880, data_ = 0x154b4b0 <google::protobuf::internal::kEmptyString>, slave_id_ = 0x7fffdc59c4f0, timestamp_ = 1429688582.046252,    state_ = 3, _cached_size_ = 0, _has_bits_ = {55}, static default_instance_ = 0x0} (gdb) p status1.get().state() $3 = mesos::TASK_FAILED (gdb) list 2802      // Kill task 1. 2803      driver1.killTask(task1.task_id()); 2804 2805      // Wait for TASK_KILLED update. 2806      AWAIT_READY(status1); 2807      ASSERT_EQ(TASK_KILLED, status1.get().state()); 2808 2809      // Kill task 2. 2810      driver2.killTask(task2.task_id()); 2811 {noformat}",1
"MESOS-1371","Expose libprocess queue length from scheduler driver to metrics endpoint","We expose the master's event queue length and we should do the same for the scheduler driver.",1
"MESOS-1424","Mesos tests should not rely on echo","Triggered by MESOS-1413 I would like to propose changing our tests to not rely on {{echo}} but to use {{printf}} instead.  This seems to be useful as {{echo}} is introducing an extra linefeed after the supplied string whereas {{printf}} does not. The {{-n}} switch preventing that extra linefeed is unfortunately not portable - it is not supported by the builtin {{echo}} of the BSD / OSX {{/bin/sh}}. ",1
"MESOS-1459","Build failure: Ubuntu 13.10/clang due to missing virtual destructor","In file included from launcher/main.cpp:19: In file included from ./launcher/launcher.hpp:24: In file included from ../3rdparty/libprocess/include/process/future.hpp:23: ../3rdparty/libprocess/include/process/owned.hpp:188:5: error: delete called on 'mesos::internal::launcher::Operation' that is abstract but has non-virtual destructor [-Werror,-Wdelete-non-virtual-dtor]     delete t;     ^ /usr/bin/../lib/gcc/x86_64-linux-gnu/4.8/../../../../include/c++/4.8/bits/shared_ptr_base.h:456:8: note: in instantiation of member function 'process::Owned<mesos::internal::launcher::Operation>::Data::~Data' requested here               delete __p;               ^ /usr/bin/../lib/gcc/x86_64-linux-gnu/4.8/../../../../include/c++/4.8/bits/shared_ptr_base.h:768:24: note: in instantiation of function template specialization 'std::__shared_count<2>::__shared_count<process::Owned<mesos::internal::launcher::Operation>::Data *>' requested here         : _M_ptr(__p), _M_refcount(__p)                        ^ /usr/bin/../lib/gcc/x86_64-linux-gnu/4.8/../../../../include/c++/4.8/bits/shared_ptr_base.h:919:4: note: in instantiation of function template specialization 'std::__shared_ptr<process::Owned<mesos::internal::launcher::Operation>::Data, 2>::__shared_ptr<process::Owned<mesos::internal::launcher::Operation>::Data>' requested here           __shared_ptr(__p).swap(*this);           ^ ../3rdparty/libprocess/include/process/owned.hpp:68:10: note: in instantiation of function template specialization 'std::__shared_ptr<process::Owned<mesos::internal::launcher::Operation>::Data, 2>::reset<process::Owned<mesos::internal::launcher::Operation>::Data>' requested here     data.reset(new Data(t));          ^ ./launcher/launcher.hpp:101:7: note: in instantiation of member function 'process::Owned<mesos::internal::launcher::Operation>::Owned' requested here   add(process::Owned<Operation>(new T()));       ^ launcher/main.cpp:26:3: note: in instantiation of function template specialization 'mesos::internal::launcher::add<mesos::internal::launcher::ShellOperation>' requested here   launcher::add<launcher::ShellOperation>();   ^ 1 error generated.",1
"MESOS-1469","No output from review bot on timeout","When the mesos review build times out, likely due to a long-running failing test, we have no output to debug. We should find a way to stream the output from the build instead of waiting for the build to finish.",2
"MESOS-1472","Improve child exit if slave dies during executor launch in MC","When restarting many slaves there's a reasonable chance that a slave will be restarted between the fork and exec stages of launching an executor in the MesosContainerizer.  The forked child correctly detects this however rather than abort it should safely log and then exit non-zero cleanly.",1
