"issuekey","created","storypoint","context","codesnippet","t_Task","t_Story","t_Bug","t_New.Feature","c_Schema","c_CRUD","c_Real.Time.Server.Stats","c_UI...UX","c_Document.Validation","c_Stability","c_Query.Bar","c_First.Run","c_Connectivity","c_DDL","c_Performance","c_Research...Design","c_Plugins","c_Packaging","c_Navigation","c_Misc","c_Compass","c_Query","c_Electron","c_Auto.Updates","c_Export.to.Language","c_Aggregation.pipeline","c_Metrics","c_Grammar","c_Tech.debt","c_Intercom","c_Atlas","c_Telemetry.Data","c_Installation","c_CI","c_Language.Modes","c_Blog","c_schema.rs","c_Build","c_Favorites","c_Security","c_Explain","c_Webpack","c_React","c_Collection","c_Header","c_Sidebar","c_Views","c_Windows.Installer","c_Release","c_Maps","c_Import.Export"
"COMPASS-167","09/12/2016 02:16:50",3,"Re-implement ""open ranges"" behavior in reactified schema view ""For MongoDB World, we've implemented a behavior in the query builder on """"number"""" minicharts to create open ranges, e.g. {{\{""""$lt"""": 20\}}} instead of {{\{""""$gt"""": 15, """"$lt"""": 20\}}} (special request from Dana for the demo). The behavior was to click-drag the selection box over the edge of the chart to trigger the open range, while still allowing closed ranges when dragging close to the edge.    !open_closed_ranges_query_builder.gif|width=600!    This behavior got lost in the transition to the React version of the schema in the 1.4.0-beta cycle.    We want to re-implement it, and also add subtle visual feedback that indiciates to the user that they have reached/passed the threshold between open/close ranges (e.g. a faded background to the side when switching to open range).    The implementation for this behavior is available in the old code base, but it needs to be adjusted to the new query builder code.     Code Snippets:    - Detection of mouse outside chart in the old code base: https://github.com/10gen/compass/blob/1.3-releases/src/app/minicharts/d3fns/many.js#L89-L98 ({{openLeft}}, {{openRight}} boolean flags)    - Code in the old Query Builder to handle open ranges: https://github.com/10gen/compass/blob/1.3-releases/src/app/minicharts/querybuilder.js#L292-L306 (probably not relevant, just adding for completeness).    - Somewhere in here we need to add the """"outside chart"""" detection and construct the open query, and pass it to the {{setRangeValue}} action, see below. https://github.com/10gen/compass/blob/master/src/internal-packages/schema/lib/d3/many.js#L85-L108    - New Query Builder action {{setRangeValue}} already supports open ranges, just need to be called correctly: https://github.com/10gen/compass/blob/f05b3acf40fe9e56691aedd83cd7d970a9a84420/src/internal-plugins/query/lib/store/query-store.js#L564-L593    Acceptance criteria:  * add """"outside chart"""" implementation for minicharts  * call {{setRangeValue}} in query store         ""","",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-65","10/04/2016 17:06:38",3,"CRUD: Improve Date Editing ""- Add help section explaining types that can be converted to dates. Format example MUST be one of yyyy-mm-dd, yyyy-mm-ddThh:MM:SS, yyyy-mm-ddThh:MM:SS.SSS. Note: Date formats were expanded to a much larger set by using the Date constructor in COMPASS-919.  - Render the dates in the same format that can be accepted: yyyy-mm-ddThh:MM:SS.SSS      ""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-115","10/08/2016 20:15:19",5,"As a developer I want to show dates in server time and not local (laptop) time ""h5. Story  As a developer, I want Compass to show date values in server time and not converted to the local (laptop) time so that I confirm that my application is saving dates correctly.    h5. User anecdote  More details:  With the current Compass implementation, I thought my App inserts dates with an offset of +1 day and I spent a lot of time trouble-shooting until I used the mongo shell and realized the dates are correct but Compass shows it converted to local time.    h5. Product Acceptance Criteria  * Have a menu option(s) to Show Dates as server time or local time  * Default to server time""","",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-265","11/02/2016 15:29:49",5,"Find in Page ""Electron now has the bindings so """"Find in Page"""" (Cmd+F) is accessible to us: https://github.com/atom/electron/blob/master/docs/api/web-contents.md#webcontentsfindinpagetext-options    Note: this will involve UI for the search input, prev/next/close buttons.""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-273","11/03/2016 14:42:41",5,"Field names should be available in doc validation pane ""When using the GUI document validation rule builder, it would be a lot simpler to use if it allowed you to select from the existing document field names rather than having to type them in.      Acceptance Criteria:  - Use the react-select component index field names (COMPASS-540) to wire it up to the field store (COMPASS-727)  - Add functional tests for adding field names to Document Validation  - Update existing enzyme tests to account for these changes""","",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-274","11/03/2016 15:03:41",2,"Converting type names to numbers in doc validation rule builder makes JSON less readable ""I created doc validation rules using type names (see attached) but Compass then converts them to the numeric equivalent in the JSON output and the rule that's added to MongoDB. It would be simpler for people to understand the rules if Compass kept the name instead.    {code:title=rules.js|borderStyle=solid}  {    """"name"""": {      """"$type"""": 3    },    """"name.first"""": {      """"$type"""": 2    },    """"name.last"""": {      """"$type"""": 1    },    """"social.twitter"""": {      """"$type"""": 4    }  }    db.getCollectionInfos({name:""""people""""})  [   {    """"name"""" : """"people"""",    """"type"""" : """"collection"""",    """"options"""" : {     """"validator"""" : {      """"name"""" : {       """"$type"""" : 3      },      """"name.first"""" : {       """"$type"""" : 2      },      """"name.last"""" : {       """"$type"""" : 1      },      """"social.twitter"""" : {       """"$type"""" : 4      }     },     """"validationLevel"""" : """"strict"""",     """"validationAction"""" : """"error""""    },    """"info"""" : {     """"readOnly"""" : false    },    """"idIndex"""" : {     """"v"""" : 2,     """"key"""" : {      """"_id"""" : 1     },     """"name"""" : """"_id_"""",     """"ns"""" : """"clusterdb.people""""    }   }  ]  {code}      Scope of the ticket:     - change type value to its string alias  - change tests to reflect this""","  {    """"name"""": {      """"$type"""": 3    },    """"name.first"""": {      """"$type"""": 2    },    """"name.last"""": {      """"$type"""": 1    },    """"social.twitter"""": {      """"$type"""": 4    }  }    db.getCollectionInfos({name:""""people""""})  [   {    """"name"""" : """"people"""",    """"type"""" : """"collection"""",    """"options"""" : {     """"validator"""" : {      """"name"""" : {       """"$type"""" : 3      },      """"name.first"""" : {       """"$type"""" : 2      },      """"name.last"""" : {       """"$type"""" : 1      },      """"social.twitter"""" : {       """"$type"""" : 4      }     },     """"validationLevel"""" : """"strict"""",     """"validationAction"""" : """"error""""    },    """"info"""" : {     """"readOnly"""" : false    },    """"idIndex"""" : {     """"v"""" : 2,     """"key"""" : {      """"_id"""" : 1     },     """"name"""" : """"_id_"""",     """"ns"""" : """"clusterdb.people""""    }   }  ]  ",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-290","11/07/2016 02:17:49",3,"Make sure all version comparisons use semver ""For server version comparisons (e.g. all 3.4-only features) we should use a library that can handle version numbers correctly, e.g. the """"semver"""" package.    Otherwise, we might run into issues with release candidates or other unusual version strings.    Simple string comparison fails in these cases:       But semver can handle this correctly:       One place where this happens:    https://github.com/10gen/compass/blob/d244de57b322ae4b3142c13220dec5191fafe0b9/src/internal-packages/crud/lib/component/editable-value.jsx#L73    Need to find all other places where we use simple string comparisons for versions.""","  > '3.4.0' > '3.4.0-rc3'  false    > semver.gt('3.4.0', '3.4.0-rc3')  true  ",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-302","11/08/2016 23:44:32",1,"When the user wants to execute an empty query, pop up a warning box that this is not ideal ""Broken off from COMPASS-291 and should be implemented after that.    Show a modal popup to warn the user when they try to run an empty explain {} because that is potentially very expensive on the database and we already know the result: a collection scan.    Acceptance Criteria:     - When the user enters an empty query (or uses the default empty query) and hits apply, a modal window should appear with a warning text and 2 buttons, cancel/continue. Only when the user presses continue should the explain be executed.  ""","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-374","11/17/2016 15:36:38",1,"Make schema/query timings visible to the user ""- Dictate to the user the definition performance: """"You may think this was slow because you were also on a hangout""""  - Don't want to think UI bugs/performance in Compass mean Server is slow  - We track these as metrics but don't expose to user  - Time to sample on server|analyze|render|$sample used  - If sample time on server slow (use ms value for slow queries from profiler?)     - recommend viewing the explain plan to make it faster    - green|yellow|red color indication like mocha's slowms?""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPASS-457","11/28/2016 05:39:07",1,"Improve the Windows installer icon ""Presumably the installer icon should use the MongoDB leaf, not something that looks a bit like a black Christmas present box.    !Screen Shot 2016-11-28 at 4.36.12 pm.png|width=50%!    Windows builds are available on Evergreen, e.g.    https://evergreen.mongodb.com/task/10gen_compass_testing_windows_64_compile_0ebd7009f7403340abb53f6691bf0325793bd8e5_16_11_28_04_14_13""","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
