"issuekey","created","title","description","storypoint"
"CONFSERVER-5599","02/28/2006 16:45:08","Export news (blog posts) to PDF","{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFCLOUD-5599].   {panel}  We write daily market summaries using the Confluence news posts feature.  It would be very useful to be able to email these daily summaries (that include tables and attached graphs from Excel) to people outside of the company. ",1
"CONFSERVER-5942","04/18/2006 01:18:06","Indexing with 'Other' analyzer removes numbers from search","When indexing language is set to ""other"", searches ignore numbers.    Example:    Page contains string ""foo""    Search for ""foo123"" returns string ""foo"" as matching    h5. Workaround:  Switch to a different Indexing Language besides 'Other' then rebuild the index  ",2
"CONFSERVER-14838","03/10/2009 05:24:54","Themes from plugins is still referenced by Confluence after plugin is uninstalled","{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFCLOUD-14838].   {panel}  Confluence still uses an uninstalled theme's layout (eg. the font will still be the old plugin's font) as its site layout although the plugin has been uninstalled.    Steps to replicate:  # Install a theme plugin  # Set the theme as the Site Theme  # Uninstall the theme  # Confluence theme selection page (http://ConfluenceURL/admin/choosetheme.action) will report that the site is using the default theme. Warnings will be populating the log file:  {noformat}  2009-03-10 16:11:26,659 WARN [http-8080-3] [atlassian.confluence.themes.DefaultThemeManager] extractTheme Unable to find configured theme module: com.atlassian.confluence.themes.classic:classic   -- referer: http://localhost:8080/admin/console.action | url: /admin/choosetheme.action | userName: admin  {noformat}    Customers who used the Classic Theme as a site layout might encounter this warning after they have upgraded to Confluence 2.10.    The work around is to set Confluence site theme to other installed theme.",3
"CONFSERVER-21870","02/23/2011 17:46:38","""maximum number of expressions in a list is 1000"" error when user is in more than 1000 groups visits dashboard","In *Oracle*, if a user belongs to more than 1000 groups and visits the dashboard, the following error occurs:  {code}-- url: /confluence/pages/viewpage.action | page: 69468465 | userName: user | referer: Confluence URL | action: viewpage  org.springframework.jdbc.BadSqlGrammarException: Hibernate operation: Could not execute query; bad SQL grammar []; nested exception is java.sql.SQLException: ORA-01795: maximum number of expressions in a list is 1000    Caused by: java.sql.SQLException: ORA-01795: maximum number of expressions in a list is 1000     at oracle.jdbc.driver.DatabaseError.throwSqlException(DatabaseError.java:112)   at oracle.jdbc.driver.T4CTTIoer.processError(T4CTTIoer.java:331)   at oracle.jdbc.driver.T4CTTIoer.processError(T4CTTIoer.java:288)   at oracle.jdbc.driver.T4C8Oall.receive(T4C8Oall.java:745)   at oracle.jdbc.driver.T4CPreparedStatement.doOall8(T4CPreparedStatement.java:219)   at oracle.jdbc.driver.T4CPreparedStatement.executeForDescribe(T4CPreparedStatement.java:813)   at oracle.jdbc.driver.OracleStatement.executeMaybeDescribe(OracleStatement.java:1049)   at oracle.jdbc.driver.T4CPreparedStatement.executeMaybeDescribe(T4CPreparedStatement.java:854)   at oracle.jdbc.driver.OracleStatement.doExecuteWithTimeout(OracleStatement.java:1154)   at oracle.jdbc.driver.OraclePreparedStatement.executeInternal(OraclePreparedStatement.java:3370)   at oracle.jdbc.driver.OraclePreparedStatement.executeQuery(OraclePreparedStatement.java:3415)   at org.apache.tomcat.dbcp.dbcp.DelegatingPreparedStatement.executeQuery(DelegatingPreparedStatement.java:93)   at net.sf.hibernate.impl.BatcherImpl.getResultSet(BatcherImpl.java:89)   at net.sf.hibernate.loader.Loader.getResultSet(Loader.java:880)   at net.sf.hibernate.loader.Loader.doQuery(Loader.java:273)   at net.sf.hibernate.loader.Loader.doQueryAndInitializeNonLazyCollections(Loader.java:138)   at net.sf.hibernate.loader.Loader.doList(Loader.java:1063)   at net.sf.hibernate.loader.Loader.list(Loader.java:1048)   at net.sf.hibernate.hql.QueryTranslator.list(QueryTranslator.java:854)   at net.sf.hibernate.impl.SessionImpl.find(SessionImpl.java:1552)   at net.sf.hibernate.impl.QueryImpl.list(QueryImpl.java:49)   at net.sf.hibernate.impl.AbstractQueryImpl.uniqueResult(AbstractQueryImpl.java:550)   at com.atlassian.confluence.spaces.persistence.dao.hibernate.HibernateSpaceDao$7.doInHibernate(HibernateSpaceDao.java:455)   at org.springframework.orm.hibernate.HibernateTemplate.execute(HibernateTemplate.java:370)   at org.springframework.orm.hibernate.HibernateTemplate.execute(HibernateTemplate.java:337)   at com.atlassian.confluence.spaces.persistence.dao.hibernate.HibernateSpaceDao.countSpaces(HibernateSpaceDao.java:447)   at com.atlassian.confluence.spaces.DefaultSpaceManager$1.getAvailableSize(DefaultSpaceManager.java:799)   at com.atlassian.confluence.core.DefaultListBuilder.getAvailableSize(DefaultListBuilder.java:51)   at com.atlassian.confluence.plugins.macros.dashboard.DashboardMacroSupport.getLabelsForPermittedSpaces(DashboardMacroSupport.java:216)   at com.atlassian.confluence.plugins.macros.dashboard.DashboardMacroSupport.getViewableTeamLabels(DashboardMacroSupport.java:201)  {code}    The problem is that com.atlassian.confluence.spaces.persistence.dao.hibernate.HibernateSpacesQueryBuilder specifies the full list of groups the user is a member of in the ""in"" clause.  It's unexpected for a user to be in more than 1000 groups, but it can happen, particularly if Confluence is delegating user management to a large LDAP server.",3
"CONFSERVER-22154","03/31/2011 18:48:28","JIRA Issues Macro not following Confluence general configuration date/time format","It seems that the {jiraissues} macro for Confluence is not following the date format as set in the Confluence general configurations. The dates display in dd/MMM/yy format (with no timestamp), regardless of formatting of the ""Date Time Format"" or ""Date Format"" in general configs. Please see the attached screenshots for more detail.    FWIW I tested this in Confluence 3.3.3, 3.4.7, and 3.5.0, using {jiraissues} macro to retrieve issues from JAC.    There's an pretty old (fixed) ticket on this topic, but it's unclear whether it's the same bug:  http://jira.atlassian.com/browse/CONF-1403",2
"CONFSERVER-22287","04/10/2011 16:21:10","When Inserting Link Insert Button Not Clickable When Using Mouse Right-Click to Paste","h3. Summary  ""Insert"" button is greyed out when using right mouse click to paste    h3. Steps to Reproduce  # Copy a URL into your clipboard.  # Click Insert > Link  #* Alternatively, Press ⌘K / ctrl + K to create a hyperlink  # Click Web Link  # Right-click in URL field/ Address field with mouse and select Paste   !CONFSERVER-22287-replication steps.png|thumbnail!     h3. Expected Results  The ""Insert""button can clicked and link can be inserted    h3. Actual Results  The ""Insert"" button is greyed out.    h3. Workaround  * Press Enter/Return key after pasting the link  * Press Space bar after pasting the link   * Use Ctrl + V instead  * Type and then delete any character into the ""Address"" field; this enables the button.    h3. Additional notes  This most likely can be fixed by adding a JavaScript check for ""Right click > Paste"".",2
"CONFSERVER-22339","04/15/2011 18:39:26","JIRA Issues Macro isn't correctly displayed when exported, in PDF and Word, if the text inside columns is too wide.","h4.Problem  JIRA Issues Macro isn't correctly displayed when exported, in PDF and Word, if the text inside columns is too wide.  The problem lies directly with the export function.    h4.Fix  There is none yet.    h4.Workaround  Use as landscape with this PDF Stylesheet:  {code}@page  {  size: 297mm 210mm;  }{code}",5
"CONFSERVER-22575","05/24/2011 02:53:01","Support customisation of fields displayed by JIRA macro when showing a single issue","{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFCLOUD-22575].   {panel}  In a Confluence instance with an applink set up to JIRA I would like to be able to use the ""shortcut"" version of the jira issue macro like this:    {noformat}  {jira:MAI-19|server=jira|columns=assignee,resolution,updated}  {noformat}    At the moment the columns attribute is ignored and the key/description/status is displayed (see attachment). I would prefer that only the specified columns are displayed, perhaps with a vertical or horizontal layout attribute.",5
"CONFSERVER-50755","08/24/2011 16:20:49","Cannot subscribe to iCal calendar","I'm trying to subscribe to a calendar but get the message that the calender doesn't seem to be in iCal format.  I tested the attached file with these validators: http://icalvalid.cloudapp.net/ http://severinghaus.org/projects/icv/  and the calendar validates fine, funnily, the last validator makes use of iCal4j which is implemented in Team Calendars as well. Please see the attached log and ics file for more info.   Thanks a lot, Peter  ",2
"CONFSERVER-23993","11/28/2011 22:51:15","Share button greyed out, not obvious that an email address needs to be 'selected' first","{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFCLOUD-23993].   {panel}  Steps to reproduce:  * Click the share button to display the pop-up  * Type an email address  * Hit TAB  * The email is left in the text box. There is no error message yet the ""share"" button is greyed out (!)    !confluence share.png!",3
