"issuekey","created","storypoint","context","codesnippet","t_Suggestion","t_Bug","c_Page...Export","c_Administration...Look.and.Feel...Themes","c_Integrations...JIRA","c_Editor...Comment.Editor","c_Macros...Gadgets","c_Add.ons...Confluence.Questions","c_Space...Import...Export","c_Macros...JIRA.Macros","c_Editor...TinyMCE.4","c_Content...Attachments","c_Page...Import","c_Macros...Task.Report","c_Search...Indexing","c_Navigation...People.Directory","c_Core...APIs","c_Core...Connect.Platform","c_Ecosystem","c_Site...Backup...Import","c_Onboarding...nth.user","c_Documentation...All","c_Content...Inline.Comments","c_Navigation...Dashboard","c_Search...Core","c_Core...Workbox","c_Macros...Other.Macros","c_Core...Frontend.Platform","c_Add.ons...Team.Calendar","c_Integrations...Office.Connector","c_Editor...Collaborative.editing","c_WebDAV...Editing","c_Navigation...Single.Page.App","c_Navigation...Space.Directory","c_Navigation...Sidebar","c_User...Global...Space.Permissions","c_Content...Page","c_Content...Blueprints...Templates","c_Editor...Fabric","c_Editions...AdminKey","c_Content...Restrictions","c_Content...Labels","c_Search...Advanced.Search","c_TWP...Search"
"CONFCLOUD-5599","02/28/2006 16:45:08",1,"Export news (blog posts) to PDF ""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-5599].   {panel}  We write daily market summaries using the Confluence news posts feature.  It would be very useful to be able to email these daily summaries (that include tables and attached graphs from Excel) to people outside of the company. ""","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-14838","03/10/2009 05:24:54",3,"Themes from plugins is still referenced by Confluence after plugin is uninstalled ""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-14838].   {panel}  Confluence still uses an uninstalled theme's layout (eg. the font will still be the old plugin's font) as its site layout although the plugin has been uninstalled.  Steps to replicate: # Install a theme plugin # Set the theme as the Site Theme # Uninstall the theme # Confluence theme selection page (http://ConfluenceURL/admin/choosetheme.action) will report that the site is using the default theme. Warnings will be populating the log file:   Customers who used the Classic Theme as a site layout might encounter this warning after they have upgraded to Confluence 2.10.  The work around is to set Confluence site theme to other installed theme."""," 2009-03-10 16:11:26,659 WARN [http-8080-3] [atlassian.confluence.themes.DefaultThemeManager] extractTheme Unable to find configured theme module: com.atlassian.confluence.themes.classic:classic  -- referer: http://localhost:8080/admin/console.action | url: /admin/choosetheme.action | userName: admin ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-20224","06/29/2010 17:47:43",2,"PDF export for Code Block content is resulting in blank space gap ""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-20224].   {panel}  h3. Summary When exporting a page with large (multi-page) code block content, the pdf file would contain block space gap within the code block content  h3. Steps to Reproduce # Create a page and add a code block macro with enough content to span more than one page in the generated pdf # Insert content into the code block macro # Export page to PDF   h3. Expected Results # It should properly export the page to PDF without blank space gap  h3. Actual Results # PDF export for Code Block content is resulting in blank space gap.   ""","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-22575","05/24/2011 02:53:01",5,"Support customisation of fields displayed by JIRA macro when showing a single issue ""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-22575].   {panel}  In a Confluence instance with an applink set up to JIRA I would like to be able to use the """"shortcut"""" version of the jira issue macro like this:    At the moment the columns attribute is ignored and the key/description/status is displayed (see attachment). I would prefer that only the specified columns are displayed, perhaps with a vertical or horizontal layout attribute."""," {jira:MAI-19|server=jira|columns=assignee,resolution,updated} ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-24540","01/31/2012 12:22:21",3,"Viewfile macro can't find attachment if the page title contain character after colon (:) ""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-24540].   {panel}  h3. Summary of The Bug  When page title have any character after a colon( : )    office connector can't find the office files attached to the page. If colon is the last character on the page title, attached office files searchable by view office macro  h3. How to reproduce the bug  # Create a page (example: 'Office connector:') !Officepage.png|thumbnail! # Attached office file into the page !attached.png|thumbnail! # Try to view it using view office plugin !Works.png|thumbnail! # Change the page title to contain any character after colon (example: 'Office connector:test') !test.png|thumbnail! # Try to view it using view office plugin !broke.png|thumbnail! # Attached files can't be seen on """"File Name"""" fields (i) When viewed with _Developer Tools_, the {{attachmentsearch.action}} GET request returned HTTP 404 error code.  h3. Workarounds Option 1 - Rename the page to remove the ':'  Option 2 - Use the insert markup feature: # From the editor toolbar, expand the '+' menu. # Choose 'Markup'. # Insert the following markup (change accordingly):  # Save  h1. Work performed * Changes are backwards-compatible in the plugin, committed in https://bitbucket.org/atlassian/officeconnector issue/CONF-24540 . 2 backwards-compatibility issues were raised: CONFDEV-10156 and CONFDEV-10157. * Changes in confluence-core are still on issue/CONF-24540, and awaiting implementation of a few review comments before being committed. """," Office Connector:test  {view file:name_of_the_attachments.ext} ",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-25278","04/19/2012 12:42:42",2,"Page margin CSS in PDF Stylesheet can OOME and cause high load on Confluence during PDF export ""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-25278].   {panel}  h5. Steps to reproduce: # Add the following CSS in your Space PDF Stylesheet:  # Export a Page to PDF and will ended up at System Error page with the following stacktrace:  # Export the Space to PDF and it will take forever and throw the following in the stacktrace:   h5. Findings It seems that this can only be reproduced if the value of the margin is bigger than 5in.  h5. Workaround Follow the instructions from the following KB article: http://confluence.atlassian.com/display/CONFKB/Exporting+Page+or+Space+to+PDF+Fails+and+Causes+High+Load+or+OutOfMemoryError"""," @page  {     margin: 5.5in; }  2012-04-19 17:22:06,698 ERROR [http-8080-3] [[Standalone].[localhost].[/confluence].[action]] log Servlet.service() for servlet action threw exception java.lang.OutOfMemoryError: Java heap space     at java.util.LinkedList.addBefore(LinkedList.java:778)     at java.util.LinkedList.add(LinkedList.java:198)     at org.xhtmlrenderer.css.newmatch.CascadedStyle.addProperties(CascadedStyle.java:148)     at org.xhtmlrenderer.css.newmatch.CascadedStyle.<init>(CascadedStyle.java:135)     at org.xhtmlrenderer.css.newmatch.Matcher.getPageCascadedStyle(Matcher.java:121)     at org.xhtmlrenderer.context.StyleReference.getPageStyle(StyleReference.java:203)     at org.xhtmlrenderer.layout.Layer.createPageBox(Layer.java:794)     at org.xhtmlrenderer.layout.Layer.addPage(Layer.java:764)     at org.xhtmlrenderer.layout.Layer.addPagesUntilPosition(Layer.java:875)     at org.xhtmlrenderer.layout.Layer.getPage(Layer.java:861)     at org.xhtmlrenderer.layout.Layer.getFirstPage(Layer.java:805)     at org.xhtmlrenderer.render.BlockBox.layout(BlockBox.java:774)     at org.xhtmlrenderer.render.BlockBox.layout(BlockBox.java:735)     at org.xhtmlrenderer.pdf.ITextRenderer.layout(ITextRenderer.java:209)     at com.atlassian.confluence.extra.flyingpdf.FlyingSaucerXmlToPdfConverter.convertXhtmlToPdf(FlyingSaucerXmlToPdfConverter.java:92)     at com.atlassian.confluence.extra.flyingpdf.FlyingSaucerXmlToPdfConverter.convertXhtmlToPdf(FlyingSaucerXmlToPdfConverter.java:38)     at com.atlassian.confluence.extra.flyingpdf.FlyingSaucerPdfExporterService.createPdfForPage(FlyingSaucerPdfExporterService.java:78)     at com.atlassian.confluence.extra.flyingpdf.ExportPageAsPdfAction.execute(ExportPageAsPdfAction.java:28)     at com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:168)     at com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:35)     at com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:165)     at com.opensymphony.xwork.interceptor.DefaultWorkflowInterceptor.intercept(DefaultWorkflowInterceptor.java:55)     at com.atlassian.confluence.core.ConfluenceWorkflowInterceptor.intercept(ConfluenceWorkflowInterceptor.java:37)     at com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:165)     at com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:35)     at com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:165)     at com.atlassian.xwork.interceptors.XsrfTokenInterceptor.intercept(XsrfTokenInterceptor.java:100)     at com.atlassian.confluence.xwork.ConfluenceXsrfTokenInterceptor.intercept(ConfluenceXsrfTokenInterceptor.java:25)     at com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:165)     at com.atlassian.confluence.security.interceptors.CaptchaInterceptor.intercept(CaptchaInterceptor.java:49)     at com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:165)     at com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:35)   2012-04-19 17:02:40,878 ERROR [Long running task: PDF Space Export] [content.render.xhtml.DefaultRenderer] render Error rendering content for view: RuntimeException occurred while performing an XHTML storage transformation (null)  -- referer: http://localhost:8080/confluence/spaces/flyingpdf/flyingpdf.action?key=SBX | url: /confluence/spaces/flyingpdf/doflyingpdf.action | userName: admin | action: doflyingpdf com.atlassian.confluence.content.render.xhtml.XhtmlException: RuntimeException occurred while performing an XHTML storage transformation (null)     at com.atlassian.confluence.content.render.xhtml.storage.StorageXhtmlTransformer.transform(StorageXhtmlTransformer.java:60)     at com.atlassian.confluence.content.render.xhtml.TransformerChain.transform(TransformerChain.java:41)     at com.atlassian.confluence.content.render.xhtml.PluggableTransformerChain.transform(PluggableTransformerChain.java:53)     at com.atlassian.confluence.content.render.xhtml.DefaultRenderer.render(DefaultRenderer.java:63)     at com.atlassian.confluence.content.render.xhtml.DefaultRenderer.render(DefaultRenderer.java:51)     at com.atlassian.confluence.extra.flyingpdf.html.RenderedXhtmlBuilder.renderToHtml(RenderedXhtmlBuilder.java:377)     at com.atlassian.confluence.extra.flyingpdf.html.RenderedXhtmlBuilder.renderContentTreeNodes(RenderedXhtmlBuilder.java:346)     at com.atlassian.confluence.extra.flyingpdf.html.RenderedXhtmlBuilder.buildHtml(RenderedXhtmlBuilder.java:134)     at com.atlassian.confluence.extra.flyingpdf.FlyingSaucerPdfExporterService.createPdfForSpace(FlyingSaucerPdfExporterService.java:50)     at com.atlassian.confluence.extra.flyingpdf.PdfExportLongRunningTask$1.doInTransactionWithoutResult(PdfExportLongRunningTask.java:70)     at org.springframework.transaction.support.TransactionCallbackWithoutResult.doInTransaction(TransactionCallbackWithoutResult.java:33)     at org.springframework.transaction.support.TransactionTemplate.execute(TransactionTemplate.java:128)     at com.atlassian.confluence.extra.flyingpdf.PdfExportLongRunningTask.runInternal(PdfExportLongRunningTask.java:52)     at com.atlassian.confluence.util.longrunning.ConfluenceAbstractLongRunningTask.run(ConfluenceAbstractLongRunningTask.java:21)     at com.atlassian.confluence.util.longrunning.ManagedTask.run(ManagedTask.java:35)     at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:441)     at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303)     at java.util.concurrent.FutureTask.run(FutureTask.java:138)     at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)     at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)     at java.lang.Thread.run(Thread.java:662) Caused by: java.lang.NullPointerException     at com.atlassian.confluence.content.render.xhtml.editor.macro.DefaultPlaceholderUrlFactory.getUrlForErrorPlaceholder(DefaultPlaceholderUrlFactory.java:73)     at com.atlassian.confluence.content.render.xhtml.transformers.TransformErrorToHtmlPlaceholder.handle(TransformErrorToHtmlPlaceholder.java:54)     at com.atlassian.confluence.content.render.xhtml.transformers.DefaultFragmentTransformer.transform(DefaultFragmentTransformer.java:124)     at com.atlassian.confluence.content.render.xhtml.storage.StorageXhtmlTransformer.transform(StorageXhtmlTransformer.java:43)     ... 20 more ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-26016","07/13/2012 03:39:03",2,"pdf export fails to retrieve image if the image on the page is a web image and url contains ""download/attachments"" ""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-26016].   {panel}  If you insert a web image to a page whose url contains the text {{download/attachments}} (such as this image {{http://confluence.atlassian.com/download/attachments/139467/confluence-3-0-profile-view.png?version=2&modificationDate=1243658607572}}), and then export that page as pdf, the image will not resolve, and you will get a warning in the logs    The pdf exports continue, but where the image should've been, is instead an empty space.  h4. Workaround: Add the problematic image as an attachment first, and then replace the web image with the attachment on the page before exporting.""","[confluence.extra.flyingpdf.ConfluenceExportUserAgent] getImageResource Could not retrieve image resource http://confluence.atlassian.com/download/attachments/139467/confluence-3-0-profile-view.png?version=2&modificationDate=1243658607572 during Confluence export : The byte array is not a recognized imageformat. ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-26780","10/02/2012 10:51:09",2,"Export to PDF removes non-Latin Unicode under viewfile macro ""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-26780].   {panel}  *Problem Description* In exporting to PDF, some non latin unicode character like Russian character, Chinese character or Turkish character will not be exported properly to pdf (lost), if they are inside viewfile macro. Even though the font is already specified to for example verdana, and verdana.ttf is already uploaded in _Confluence Admin >> PDF Export Language Support_, the character inside viewfile macro is not exported.  *Steps to reproduce* # Include any non unicode character on office document (I use russian in this case) # You can use either word (doc and docx), excel (xls and xlsx), or powerpoint (ppt or pptx) format # Install the font as mentioned in [this documentation|https://confluence.atlassian.com/display/DOC/Creating+PDF+in+Another+Language] # Create a page # You can put some non latin character on the editor as well # Attach the document files # Use view file macro to display the attachment in the page # Export to PDF and notice that the nonlatin character in page is exported, but not the one inside viewfile macro""","",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-27259","11/15/2012 10:53:08",3,"When using the Issuelinks field column in the JIRA macro, there are no hyperlinks like in the Issue Navigator in JIRA ""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-27259].   {panel}  Customer requests that the Linked Issue field column, when added to the JIRA Macro in Confluence, contain hyperlinks like when you add the field in the Issue Navigator in JIRA.  ""","",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFCLOUD-28229","02/22/2013 16:10:14",3,"Use Ctrl-Shift-V to 'paste unformatted' ""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-28229].   {panel}  The convention is that Ctrl-v pastes and Ctrl-Shift-V pastes unformatted text.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
