"issuekey","created","title","description","storypoint"
"TISTUD-1","03/01/2011 11:50:44","Update JS metadata to include items from ECMA-262, 5th Edition","At the very least, we need to verify that these items exist in our metadata:    # JSON.parse, .stringify  # Date.prototype.toISOString, .toJSON  # Object.create, .defineProperty, .defineProperties, .freeze, .getOwnPropertyDescription, .getOwnPropertyNames, .getPrototypeOf, .isExtensible, .isFrozen, .isSealed, .keys, .preventExtensions, .seal  # Array.isArray, Array.prototype.every, filter, .forEach, .indexOf, .lastIndexOf, .map, .reduce, .reduceRight, .some  # String.prototype.trim  # Function.prototype.bind  ",0
"TISTUD-68","03/01/2011 11:58:08","Add pings to Blackberry Events","{html}<div><p>Mobile Distribute App event: Use sendDistributeEvent() from MobileUsageUtils</p> <p>Mobile Install on Device event: use sendInstallEvent() from MobileUsageUtils</p> <p>Blackberry does not have devName / sdk fields for those methods. Those fields should have null passed in.</p></div>{html}",1
"TISTUD-121","03/09/2011 17:30:17","Allow users to download older versions of Mobile SDK","Change ""Install Titanium SDK From URL..."" to ""Install Specific Titanium SDK...""    Add radio button:  * Install from URL: Top text box will stay as before, allowing people to paste in. Add browse button to surf to local location on disk  * Install from Update stream: Cascading drop-downs  ** Contributed via extension point. Two default streams contributed  ** ""release"" stream: https://api.appcelerator.net/p/v2/release-list?name=mobilesdk (filter on OS)  ** ""continuous integration master"" stream: http://builds.appcelerator.com.s3.amazonaws.com/mobile/master/index.json (we may need to work with platform to either a) regularize the format or b) allow for the extension point to apply some regex/xpath to the JSON to grab build info)",13
"TISTUD-127","03/10/2011 10:53:37","Hook up language modules to be exported in timanifest file during Desktop packaging","The code for dealing with modules was commented out by me in porting over the Ti Dev 1 packager for Desktop, since we didn't have this in our metadata or anything. We need to re-implement this now that we are keeping track of this.",1
"TISTUD-138","03/11/2011 07:58:45","Add Portal Dispatcher to Launch Specific Wizard","Could be done through a link. Suggestion is to allow the user to pass in a specific ID, i.e. com.appcelerator.titanium.ui.import.wizard",1
"TISTUD-176","03/21/2011 13:36:51","Update the verified publisher in Windows installer to Appcelerator ","It currently shows Aptana, Inc when hovering over the installer image. Would be 5 points if it is already in correct format.",8
"TISTUD-200","03/28/2011 16:19:55","Tiapp: surface errors/warnings in Overview Editor to Problem view and as project file decorators","Steps to Reproduce:  1. Create a new project from tiDev  2. Import the project to tiStudio  3. open tiapp.xml    Actual:  there are errors that the user need to resolve, but they do not see that indication until file is open    Expected:  To indicate to the user that there is an error on the project when they import  ",20
"TISTUD-273","04/06/2011 11:42:00","Allow selection by CamelCase","In another I-can't-name-it Eclipse based IDE, there's a feature where you can select things based on CamelCase, instead of by word, which is very handy.    Example: If I have code like this:    /pintley/ui/components/MoreRow.js    On OS X, if I put my cursor between ""Row"" and "".js"", hold down option-shift, and hit the left arrow, it would highlight ""Row"" instead of ""MoreRow"". It's a huge timesaver, but I can see that not everyone would like it. I just want the option.",8
"TISTUD-525","04/15/2011 03:27:36","Replace colons in project names with underscore characters","I tried creating a mobile project through developer with a colon in the name and got the following in the console. Just create a project with a colon in the name to reproduce.    We should instead replace the colon with an underscore.    {panel}  <p><a href=""/projects/32238/changesets/INFO"" title=  ""Changeset [INFO]"">[INFO]</a> Compiling JavaScript...one moment  <a href=""/projects/32238/changesets/INFO"" title=  ""Changeset [INFO]"">[INFO]</a> Simulator is exiting <a href=  ""/projects/32238/changesets/INFO"" title=  ""Changeset [INFO]"">[INFO]</a> No JavaScript errors detected.  <a href=""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> executing command: /usr/bin/killall  iPhone Simulator <a href=""/projects/32238/changesets/INFO"" title=  ""Changeset [INFO]"">[INFO]</a> One moment, building ... <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copy resources from  /Users/kevin/Name: Lite/Resources to /Users/kevin/Name:  Lite/build/iphone/tmp <a href=""/projects/32238/changesets/DEBUG""  title=""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/about.html to /Users/kevin/Name:  Lite/build/iphone/tmp/about.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.css to /Users/kevin/Name:  Lite/build/iphone/tmp/index.css <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.html to /Users/kevin/Name:  Lite/build/iphone/tmp/index.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.js to /Users/kevin/Name:  Lite/build/iphone/tmp/index.js <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/about.html to /Users/kevin/Name:  Lite/build/iphone/tmp/about.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.css to /Users/kevin/Name:  Lite/build/iphone/tmp/index.css <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.html to /Users/kevin/Name:  Lite/build/iphone/tmp/index.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.js to /Users/kevin/Name:  Lite/build/iphone/tmp/index.js <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/about.html to /Users/kevin/Name:  Lite/build/iphone/tmp/about.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.css to /Users/kevin/Name:  Lite/build/iphone/tmp/index.css <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.html to /Users/kevin/Name:  Lite/build/iphone/tmp/index.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.js to /Users/kevin/Name:  Lite/build/iphone/tmp/index.js <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/about.html to /Users/kevin/Name:  Lite/build/iphone/tmp/about.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.css to /Users/kevin/Name:  Lite/build/iphone/tmp/index.css <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.html to /Users/kevin/Name:  Lite/build/iphone/tmp/index.html <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/index.js to /Users/kevin/Name:  Lite/build/iphone/tmp/index.js <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/android/default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/android/default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/iphone/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copy resources from  /Users/kevin/Name: Lite/Resources/iphone to /Users/kevin/Name:  Lite/build/iphone/tmp <a href=""/projects/32238/changesets/DEBUG""  title=""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/appicon.png to /Users/kevin/Name:  Lite/build/iphone/tmp/appicon.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/closebox.png to /Users/kevin/Name:  Lite/build/iphone/tmp/closebox.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> copying: /Users/kevin/Name:  Lite/Resources/iphone/Default.png to /Users/kevin/Name:  Lite/build/iphone/tmp/Default.png <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> module library dependency detected  Titanium.App <a href=""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> module library dependency detected  Titanium.API <a href=""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> module library dependency detected  Titanium.Network <a href=""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> module library dependency detected  Titanium.Platform <a href=""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> module library dependency detected  Titanium.Analytics <a href=""/projects/32238/changesets/DEBUG""  title=""Changeset [DEBUG]"">[DEBUG]</a> module library dependency  detected Titanium.Media <a href=""/projects/32238/changesets/DEBUG""  title=""Changeset [DEBUG]"">[DEBUG]</a> module library dependency  detected Titanium.Gesture <a href=  ""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> module library dependency detected  Titanium.UI <a href=""/projects/32238/changesets/INFO"" title=  ""Changeset [INFO]"">[INFO]</a> Executing XCode build... <a href=  ""/projects/32238/changesets/INFO"" title=  ""Changeset [INFO]"">[INFO]</a> Executing XCode Compiler [toggle  output] <a href=""/projects/32238/changesets/DEBUG"" title=  ""Changeset [DEBUG]"">[DEBUG]</a> executing command: xcodebuild  -configuration Debug -sdk iphonesimulator3.1.2  WEB_SRC_ROOT=/Users/kevin/Name: Lite/build/iphone/tmp  GCC_PREPROCESSOR_DEFINITIONS=<strong>LOG</strong>ID<strong>=d7b66483-2558-4df7-9701-dfe81c20550d  DEPLOYTYPE=development DEBUG=1 Traceback (most recent call  last):<br>  File ""/Library/Application  Support/Titanium/mobilesdk/osx/0.8.1/iphone/builder.py"", line 544,  in<br>  main(sys.argv)<br>  File ""/Library/Application  Support/Titanium/mobilesdk/osx/0.8.1/iphone/builder.py"", line 359,  in main<br>  ""GCC_PREPROCESSOR_DEFINITIONS=</strong>LOG<strong>ID</strong>=%s  DEPLOYTYPE=development DEBUG=1"" % log_id File ""/Library/Application  Support/Titanium/mobilesdk/osx/0.8.1/iphone/run.py"", line 7, in  run<br>  (so,se) = subprocess.Popen(args, stderr=subprocess.PIPE,  stdout=subprocess.PIPE).communicate() File  ""/System/Library/Frameworks/Python.framework/Versions/2.5/lib/python2.5/subprocess.py"",  line 667, in communicate<br>  return self.<em>communicate(input)<br>  File  ""/System/Library/Frameworks/Python.framework/Versions/2.5/lib/python2.5/subprocess.py"",  line 1138, in</em> communicate<br>  rlist, wlist, xlist = select.select(read_set, write_set, [])<br>  KeyboardInterrupt</p></div>  {panel}",5
"TISTUD-302","04/18/2011 15:22:26","Build error when using external module","When I try to include an external module (SMSDialog Module from https://github.com/omorandi/TiSMSDialog/tree/) and compile my app to run on the iPhone simulator I get the following error:  [ERROR] Error: Traceback (most recent call last):   File ""/Library/Application Support/Titanium/mobilesdk/osx/1.6.1/iphone/builder.py"", line 1091, in main     execute_xcode(""iphonesimulator%s"" % link_version,[""GCC_PREPROCESSOR_DEFINITIONS=__LOG__ID__=%s DEPLOYTYPE=development TI_DEVELOPMENT=1 DEBUG=1 TI_VERSION=%s"" % (log_id,sdk_version)],False)   File ""/Library/Application Support/Titanium/mobilesdk/osx/1.6.1/iphone/builder.py"", line 1012, in execute_xcode     output = run.run(args,False,False,o)   File ""/Library/Application Support/Titanium/mobilesdk/osx/1.6.1/iphone/run.py"", line 39, in run     sys.exit(rc) SystemExit: 65   This same code compiles correctly using Titanium Developer version 1.2.2. ",1
