"issuekey","created","title","description","storypoint"
"MDL-1626","07/08/2004 10:38:38","Forum: Per-discussion subscription","I am finding that my inbox is absolutely flooded with unwanted moodle mails off the forum script. This is very annoying and I know it will similarly annoy my users. In fact it will put them off the system.    The problem arises because unlike other discussion boards moodle messages are emailed to me from the entire forum, not just the thread I have started or responded to. The overwhelming of people's inboxes is a serious business: it could be said that moodle is generating spam because the email feature is so unfocused.    Is there any chance this is going to be improved please?",100
"MDL-3714","07/08/2005 09:59:21","Forum: Reply by e-mail","How about the ability to post to the forums via email?",100
"MDL-5583","05/22/2006 22:15:00","allow teachers to specify certain fields in database activity as required","When creating a database, allow the teacher to specify whether a field must be filled in or not.",20
"MDL-8501","02/13/2007 16:36:35","Forum: proceed to next thread link","Please put a link to jump to the next thread in the forum interface... Forums are very cool but the evaluation process is time consuming and, for a teacher, time is everything when evaluating 100s of students...  ",20
"MDL-9469","04/20/2007 22:06:25","Forum: Ability to export content at the end of the term","My faculty would really like the ability to export the content from each forum as a record of the ""conversation"" from each term.  That way, we could keep it as an archive or as a record of the activity in the class.",3
"MDL-10115","06/13/2007 23:16:23","A use profile's course list is arbitarily limited with no way of seeing complete list","When viewing a user's profile, if the list of their courses exceeds 21 (I think) an ellipsis is displayed. This seems a bit useless because... a) You can't click on the ellipsis to see the rest of the courses b) The list isn't even in alphabetic order so it becomes even more arbitrary c) the ellipsis is easy to miss, so you may not realise the list is truncated  Suggest either making this work properly, i.e., the ellipsis is clickable OR if the list is not considered important just put ""too many courses to show"" if it exceeds a certain amount. It would seem sensible to display them in alphabetic order too.  Without this it is difficult for an administrator to see all the courses a user is in if (for example) checking role assignments.",13
"MDL-12403","12/02/2007 04:14:05","backup or import of single quiz includes all questions in database","When making a backup of individual quizzes, no matter how many (or how few) quizzes I back up, the backup includes all questions from the question bank, not only those used in the quiz which I'm backing up. So, in an extreme case, if I back up a single quiz, and then restore it to another course, I unintentionally transfer hundreds of questions along with this quiz.    The same happens when importing a quiz to another course.",100
"MDL-13114","01/24/2008 01:10:31","Include bulk course create and remove with Moodle through the use of CSV files","We're looking to Moodle for a replacement to Blackboard Enterprise.  In order for Moodle to be a viable replacement we need a way to bulk create and delete courses based on CSV files.  The bulk create courses is handled by use of a 3rd party module (uploadcourse.php created by Rory Allford).  However once we import say 700+ courses there's no way to them bulk remove them at the end of a semester (removing 1 by 1 would be too time consuming).  We would really prefer that this functionality be included within Moodle, as relying on 3rd party modules (no matter how good they are), inherits a risk if the module stops getting updated.",100
"MDL-16474","09/11/2008 21:35:07","Allow single-item scales","The single-item scale, ""Useful"", used on moodle.org is in demand! See http://moodle.org/mod/forum/discuss.php?d=105515    Currently only scales of 2 or more items may be created.",8
"MDL-16982","10/23/2008 18:26:42","Adding data mapping for custom user fields","I'd like having the possibility to add data mapping for custom user fields when I use LDAP or DB auth modules",40
