"issuekey","created","storypoint","context","codesnippet","t_New.Feature","t_Bug","t_Improvement","t_Task","c_Valdator.Server","c_Go.SDK","c_Packaging","c_XO.Family","c_Documentation","c_Validator.Global.State","c_Settings.Family","c_sawtooth.core","c_Validator.Txn.Execution","c_Continuous.Integration","c_REST.API","c_Javascript.SDK","c_Python.SDK","c_PoET","c_Supply_Chain","c_Validator.Journal","c_OMI.Summer.Lab","c_Hyperledger","c_sawtooth.CLI","c_Validator.Networking","c_Burrow.EVM","c_Java.SDK","c_Private.Transaction","c_Design","c_C...SDK","c_Poet2"
"STL-34","05/02/2017 22:08:57",2,"xo create's --wait option does not wait ""When creating a game with xo, it returns before the game is committed, even with --wait:    Expected behavior is for the CLI to pause until either an error is returned or the transaction has been committed to a winning block."""," ubuntu@ubuntu-xenial:/project$ xo create game005 --wait Response: {   """"link"""": """"http://127.0.0.1:8080/batch_status?id=551a807fd5455c30fb6a5c6e4550c260c1d5e9eac0990712e45e4df92ea01bcb2e98896feb99895ce65bd25c2b8d38a368b204e2d9c984d8a230c6d46001c06e"""" } ",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-35","05/02/2017 22:10:48",1,"Research Go SDK Distribution Model ""Output of this task should be additional stories for distributing the SDK ""","",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-39","05/02/2017 22:57:24",1,"Startup without initializing genesis data can be confusing ""During development, it is common to startup a single validator.  This requires two steps prior to staring the validator: a) create a validator key with 'sawtooth admin keygen' and b) create data for the genesis block with 'sawtooth admin genesis'.    If a user using the single validator forgets step (b), the validator will currently startup and start peering.  The validator is essentially waiting for a genesis block before it will start publishing it's own blocks.  Peering happens in one thread while the journal is running in it's own threads.  (This maybe an imprecise description of the validator's behavior, as the implementation is fairly detailed.)    Current output in this situation looks like this:            If the user mistakenly forgot the step and is not starting another validator, this debug output does not help.  In fact, the 'None' statements look buggy as it looks like str(a) where 'a is None' in python slipped through and got logged.  (This is intentional currently, so it's not actually buggy.)    Recommend we have the genesis code identify this situation and log an INFO-level message with: 'No genesis block is present, resulting in no initial chain head; block publishing is disabled until a chain head is updated' or similar and removing the logging statements where 'None' occurs (or changing them for clarity).""","  ./bin/validator -vv --public-uri tcp://localhost:8800/    ...  [19:51:14.832 DEBUG    genesis] genesis_batch_file: None  [19:51:14.832 DEBUG    genesis] chain_head: None False  [19:51:14.833 DEBUG    genesis] block_chain_id: None  [19:51:14.833 DEBUG    genesis] Requires genesis: False  [19:51:14.834 DEBUG    selector_events] Using selector: ZMQSelector  [19:51:14.835 DEBUG    dispatch] Added send_message function for connection ServerThread  [19:51:14.838 INFO     chain] Chain controller initialized with chain head: None  [19:51:14.838 INFO     publisher] Now building on top of block: None  ...  ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-55","05/03/2017 20:08:47",5,"Implement state handling in parallel scheduler branch ""Finish implementation of state handling in the parallel scheduler branch, with appropriate integration with the context manager. At the end of this effort, the parallel scheduler should work well enough that it can be used in place of the serial scheduler. ""","",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-56","05/03/2017 20:09:41",1,"Add configuration option to select between schedulers ""Add command line option and file-based configuration to switch between schedulers. Update sawtooth cluster command to enable switching scheduler.""","",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-61","05/03/2017 20:18:00",1,"Write Transaction Family Spec for XO ""We do not currently have a transaction family specification for xo in our docs.  Since we use xo as our example transaction family for tutorial purposes, it would make sense to also provide a transaction family specification.  Following the format of the Sawtooth Config or Validator Registry transaction families, write a transaction family spec for the XO Family.""","",1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-64","05/03/2017 20:27:37",3,"Implement State Delta Subscription Catch-up ""State Export clients can send \{\{last_known_block_ids}} which may be older than the current chain head.  Provide a way to send the successive events between the block id sent and the chain head.""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-65","05/03/2017 20:28:44",2,"Implement Settings Key Naming Strategy ""Addresses are made up of 70 hexadecimal digits, with the first 6 making up a transaction family namespace, and the remaining 64 make up the address of the data within the namespace.  With on-chain settings, the namespace is 000000.  The remainder of the data is made up from a series of hashes of key parts.         In order to allow users to to query for groups of settings, without having to query the whole of the the settings, there needs to be a correspondence between the key parts and the address.           The remaining 32 bytes/64 hex characters of a setting address can be broken up into 4 parts, each corresponding to a part of the setting key.  Each part of the key is hashed with sha256 and the first 16 characters of the hash are used.  For keys with less than 4 parts, the remaining hashes are produced using empty strings.  For keys with more than 4 parts, the last part will be the remaining subkey (that is, 3 individual parts, and the 4 made up of the remain subkey).      Breaking it into 4 parts limits the granularity of subqueries, for deeply nested settings, but a consistent position for the keys is necessary for subgroup queries to be predictable, without the application developer requiring knowledge of how deeply nested the settings are.""","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-66","05/03/2017 20:29:40",3,"Implement State Delta Registration with Fork Resolution ""State Export clients may send {{last_known_block_ids}} which may no longer exist on the chain (e.g. the connected validator had a fork that was discarded).      Implement a way for the validator and subscriber to negotiate for a known block id.""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL-82","05/03/2017 20:55:07",1,"Migrate Namespace/Address Documentation to Public Sphinx Doc ""Migrate this document into the appropriate place in the public facing documentation:""","",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
