"issuekey","created","title","description","storypoint"
"NEXUS-540","08/14/2008 15:14:25","Repositories: Creating new repository returns nothing","I created a repository using the test harness, and nothing was returned.    The other API's return the created object back,  this is important because some default values might be set or something changed.     This also effects the Groups",1
"NEXUS-5831","11/24/2008 17:23:44","[p2] serve jarred repository metadata","nexus p2 plugin should serve jarred repository metadata and not raw xml files",2
"NEXUS-2911","10/25/2009 21:22:25","Authentication error shows up as ""400 bad request"" during smtp validation.","In the log after hitting ""Test SMTP Settings"".    {code}  2009-10-25 14:16:49 INFO  [p-1779859946-31] - o.s.m.EMailer:default         -   Handling mail request Nexus  2009-10-25 14:16:51 ERROR [p-1779859946-31] - o.s.n.e.SmtpSetting~:default  - Unable to send e-mail  org.sonatype.micromailer.MailCompositionMessagingException: MessagingException occured!   at org.sonatype.micromailer.imp.DefaultMailSender.sendMail(DefaultMailSender.java:64)   at org.sonatype.micromailer.imp.DefaultEMailer$RunnableMailer.run(DefaultEMailer.java:188)   at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)   at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)   at java.lang.Thread.run(Thread.java:637)  Caused by: javax.mail.AuthenticationFailedException   at javax.mail.Service.connect(Service.java:306)   at javax.mail.Service.connect(Service.java:156)   at javax.mail.Service.connect(Service.java:105)   at org.sonatype.micromailer.imp.DefaultMailSender.sendMail(DefaultMailSender.java:53)   ... 4 more  {code}    So we know that the problem is an authentication error.  However the user sees ""400 bad request"" (see screenshot).    We should give a reasonable error message in this case.",0
"NEXUS-3119","12/17/2009 08:10:36","Show status (active/disbaled) of user in the list of users (in the Users panel)","Any users managed by the default Nexus realm can be in an active or disabled status. It would be nice if this info is shown in the Users panel listing all users, e.g. by adding a 'Status' column.",1
"NEXUS-3201","01/16/2010 00:40:20","Log spam about LegacyAuthorizationManager when LDAP realm is enabled","I'm seeing multiple lines like this in the log after enabling the LDAP realm:    2010-01-15 16:36:22 WARN  [tp-1328231241-4] - o.s.s.a.Authorizati~          - LegacyAuthorizationManager is not configured, it should be removed.    I don't see any side effects from this, but I'm filing this issue because it looks like it is possible that LegacyAuthorizationManager should be removed. :-)    ",1
"NEXUS-3388","03/18/2010 17:24:58","Improvements to left nav","Move ""System Files"" and  ""Licensing"" to the administration tab.  Move ""Repository Targets"" to Security    Under Help have:  About Nexus  Documentation  Browse Issue Tracker    Documentation should open a new tab like About Nexus does. Here we should have the rest of the links currently under help.    Administration, Security and Help should be collapsed by default.",3
"NEXUS-3435","04/09/2010 18:54:21","Add Clear Cache method to SecuritySystem","Should be simple to do, its basically what the .start() method does in the default impl.",1
"NEXUS-3448","04/14/2010 22:53:54","When downloading artifacts through REST redirect the user is not prompted for authorization.","If a user attempts to download an artifact using the redirect service and they do not have authorization, they get a page saying ""access denied"".    They should get an authorization dialog.",1
"NEXUS-3715","08/17/2010 15:02:56","Multi select form field","The UI / backend form field should support multi selection type. This allows choosing from a list of possible options similar to combo type only that it allows more then one selection.  The list of possible options should be provided via a rest resource.",3
"NEXUS-3716","08/17/2010 15:04:19","Capability validation","There should be possible for a capability to provide additional validations such as for example not allowing multiple capabilities for same repository or value validation beside the regex value validator.  This could be archived by capability provider providing a validator implementation related to capability via capability id (same as for factory). If available, before saving a capability the validator is asked to validate create/update values.",2
"NEXUS-3717","08/17/2010 15:05:49","Generic source of options for combo/multi selection field","Currently there is only one combo selection type ""repo-or-group"". The handling of this is hardcoded in UI so adding a new combo type is impossible without changing the UI = not a pluggable solution.  Solution is to change the combo type to not be related to a specific resource but make type returning the url of a rest resource that can provide possible options values. The rest resource will be expected to return resources of type id/description.",3
"NEXUS-3722","08/19/2010 08:20:26","Manually uploaded artifacts do not show ""uploaded by"" in artifact information","I have manually uploaded an artifact to a hosted repo and the upload by field remains empty although I was logged in and anonymous access has been disabled.",1
"NEXUS-3817","09/30/2010 16:24:56","Backport the rev7251 change to 1.7.2 branch","Backport the rev7251 change to 1.7.2 branch.",3
