"issuekey","created","title","description","storypoint"
"DAEMON-5","02/03/2016 23:42:56","appcd: JSON response filtering","All the ability to filter JSON responses based on criteria from a dispatcher path.    For example, requests to `/appcd/status/system` would return only the system information:    {code}  {    ""platform"": ""darwin"",    ""arch"": ""x64"",    ""cpus"": 8,    ""hostname"": ""yojimbo.local"",    ""loadavg"": [      1.609375,      1.78076171875,      1.80810546875    ],    ""memory"": {      ""usage"": {        ""rss"": 41881600,        ""heapTotal"": 22978592,        ""heapUsed"": 17236152      },      ""free"": 97452032,      ""total"": 17179869184    }  }  {code}",13
"DAEMON-1","02/03/2016 23:55:46","appcd: Integrate hook system into appc daemon","The appc daemon needs to provide a evented hook system for plugins to use services to use and expose functionality to other services.    The hook system is based on the concepts of the hook system in the Titanium CLI. The main differences are the new hooks system will be based on ES6 promises.    The event names should follow the convention of ""module:foo.bar"".",13
"DAEMON-4","02/04/2016 00:04:55","appcd: Add analytics facilities","The appc daemon needs to provide a mechanism for services and the daemon itself to generate analytics events. These events are then sent to the Appcelerator cloud so that the products can be improved. Analytics payloads must be anonymous.    Analytics payload will include:  * Machine ID  * Session ID  * Timestamp  * Operating system  * CPU architecture (32/64-bit)  * Number of CPUs  * Total system memory  * Installed appcd plugin info  * appcd configuration  * Event name  * Event type (action, error, etc)  * Event metadata    All events must be persisted to separate files disk prior to sending to the cloud. Only one process can send an event at any given time.    The endpoint will be https://api.appcelerator.net/p/v2/partner-track. As a reference, here's Appc CLI's analytics library: https://github.com/appcelerator/appc-platform-sdk/blob/master/lib/analytics.js.    Appc Daemon's guid:  * Production: ea327577-858f-4d31-905e-fa670f50ef48  * Preprod: 14c84daf-b01e-486c-96d3-b8f66da44481",13
"DAEMON-2","02/04/2016 00:38:42","appcd: Add support for distributable Node executable","The appc daemon needs the ability to lock down the Node.js version so that native modules can be pre-compiled. It currently has a placeholder for running a specific Node executable.    The Node executable will be downloaded from the registry server. Both 32 and 64-bit Node executables will be available. The required Node.js version will be the latest LTS version, currently 4.4.3. This will most likely change to 6.2.0 LTS October 2016.",13
"DAEMON-18","02/04/2016 00:45:27","@appcd/plugin-amplify: AMPLIFY platform daemon plugin","The AMPLIFY Platform appcd plugin (@appcd/plugin-amplify) is responsible for authentication. It contains services authenticating against Axway ID and retrieving, refreshing, and invalidating access tokens.    This plugin eventually will also contain the entitlements service.",13
"DAEMON-28","02/04/2016 03:36:23","@appcd/plugin-amplify: Authentication service","The AMPLIFY platform appcd plugin will use the amplify-platform-sdk to perform authentication. This service will also automatically refresh access tokens.",13
"DAEMON-10","02/04/2016 07:42:44","jdklib v2","jdklib is responsible for detecting the installed Java development environment.    jdklib needs to expose the new detect friendly interface, namely separating the search paths from the actual detection code.",5
"DAEMON-11","02/04/2016 08:31:14","appcd: Support for --config and --config-file options","It would be useful if the appcd cli supported a {{\-\-config}} and {{\-\-config\-file}} options for the ""start"" and ""restart"" commands.",8
"DAEMON-13","05/05/2016 08:29:39","appcd: Fix source/user agent support","For analytics, the daemon records the client's ""user agent"". This feature is currently implemented, but it's named ""userAgent"" which was determined to be misleading.    We need a better term to describe this feature and a way to describe a client type, description, and version, possibly as a string instead of an object.    NPM has a user agent string that looks like {{npm/2.15.1 node/v4.4.3 darwin x64}}.",3
"DAEMON-3","05/05/2016 08:59:36","node-ios-device: Re-run node-pre-gyp if binding doesn't exist","node-ios-device v0.9.0 uses node-pre-gyp. When it is npm installed, node-pre-gyp downloads the pre-compiled binary. However, if the system Node.js version is changed, then node-pre-gyp needs to be re-run. In order for this to work, node-pre-gyp must be executed synchronously.",8
"DAEMON-6","05/07/2016 07:27:59","appcd: Filesystem watcher","androidlib, ioslib, jdklib, and windowslib need a filesystem monitoring library that can be notified when a specific path changes.    Node has a built-in {{fs.watch()}} function which works fine on Linux and Windows, but doesn't work well on OS X where it doesn't report the correct file path. This can be fixed by using the {{fsevents}} module.    The {{chokidar}} module comes close to solving this need, but I discovered two blocking bugs: one with watching paths that do not exist and one with nested paths. It also currently has 39 open issues, some of which are a little scary sounding. Additionally, {{chokidar}} uses {{readdirp}} which apparently has performance issues due to all of the file stating.",13
