"issuekey","created","storypoint","context","codesnippet","t_Story","t_Technical.task","t_Bug","t_Improvement","t_Epic","c_Runtime","c_Analytics","c_Ingest","c_Packaging","c_Batch","c_Export","c_Hadoop","c_Documentation","c_CLI","c_DSL","c_Testing","c_Performance.Testing","c_Stream.Module","c_Acceptance.Testing","c_UI","c_REST","c_Configuration","c_YARN.Runtime"
"XD-7","04/12/2013 06:43:52",1,"Tuple data structure ""The tuple data structure should be backward compatible in functionality for use in spring batch.  Porting over FieldSet tests in spring batch to use the tuple data structure is one way help ensure that compatibility.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-10","04/12/2013 06:44:56",5,"Reactor based http ingestion ""When there is support for boostrapping a http server in the reactor project, and inbound SI adapter and associated XD source module should be created.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-22","04/16/2013 11:20:36",0,"Create Module base abstractions ""A module groups together a collection of spring configuration files.""","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-24","04/16/2013 11:23:51",2,"Create pipes and filters DSL for ingestion ""Initial simple handcoded implementation for straight through pipe and filter model, e.g. a | b | c""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-28","04/17/2013 08:48:08",1,"Create simple gague service ""A gauge just stores a number.  Implementations for in-memory and redis.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-29","04/17/2013 08:49:15",5,"Create rich gauge service ""A rich gauge stores a number and also rmd, min, max. Implementations for in-memory and redis.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-30","04/17/2013 08:50:13",1,"Create a simple counter service ""A simple counters can increment/decrement a number.  Implementations for in-memory and redis.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-31","04/17/2013 08:51:18",5,"Create field-value counters ""A field-value counter is useful for bar chart graphs, Strings on x-axis and count on y-axis.  Maps well to zset in redis. Implementations for in-memory and redis.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-32","04/17/2013 11:22:10",0,"Create base Channel Registry abstraction ""Define the ChannelRegistry interface. ""","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-33","04/17/2013 11:24:06",0,"Implement LocalChannelRegistry ""This should be usable within a single JVM process. Lives within shared application context of the process. ""","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-37","04/22/2013 09:48:16",2,"Gradle based multi-project build ""multi project build. - look to Spring Framework for source of starting point.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-43","05/06/2013 07:35:36",5,"Metric repositories should support Spring Data CrudRepository interface ""This provides common CRUD behavior and a shared interface that can be useful in testing scenarios.  ""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-44","05/06/2013 07:39:10",1,"Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence ""RedisCounterRepository and RedisGaugeRepository have duplicated code that needs to be factored out into a one place.  One such duplication is the determination of the key name to use for persistence.  This should be abstracted out into a strategy helper class.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-45","05/06/2013 07:44:41",1,"Remove the expiry of keys in Redis based repositories ""There is duplicated code in Redis based repositories that related to expiry behavior, move into a common shared helper class and/or base class.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-50","05/07/2013 08:37:05",2,"Add tap support to DIRT ""syntax:   """," tap @ somechannel --key=value | somecounter ",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-53","05/08/2013 14:07:47",13,"Design and document desired high level DSL for configuring data processing in XD ""Start to explore how the DSL can cover both advanced (non-linear) spring integration flows as well as spring batch jobs.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-54","05/08/2013 14:17:42",1,"XD Metrics backed Message Counter ""A Spring Integration based @ServiceActivator that counts the number of messages using the Spring XD metrics support""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-55","05/08/2013 14:18:45",3,"SI ServiceActivator for an XD Metrics backed Field Value Counter ""A Spring Integration based @ServiceActivator that counts the occurrence of field names, from either a tuple data structure or a POJO, using the Spring XD metrics support.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-56","05/08/2013 14:35:44",2,"Switch to use Lettuce driver for Redis ""Replace the use of Jedis with Lettuce as it has higher performance""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-58","05/09/2013 14:02:50",1,"build.gradle doesn't handle a small handful of libraries ""Trying to build spring-xd for the first resulted in lots of errors inside STS (I had an empty .m2 repo).""","",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-59","05/10/2013 10:27:04",1,"Tuple should support storing nested tuples ""Nested tuple structures shoudl be supported,  getTuple(int index), getTuple(String name)""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-60","05/11/2013 10:41:08",1,"Saving a metric (Counter, Gauge..) with an existing name should throw an exception ""The difference between saving a new metric and updating an existing one needs to be defined.  Suggest that if we try to save when an existing counter is already in the database to throw exception, such as DataIntegrityViolationException.""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-61","05/13/2013 08:47:41",8,"Create distributable artifact that contains server application and start/stop scripts ""The gradle application task should get us most of the way to create a distributable artifact akin to what you see when downloading tomcat/jetty etc.  Now there is a launch task  task(launch, dependsOn: 'classes', type: JavaExec) {   main = 'org.springframework.xd.dirt.stream.StreamServer'   classpath = sourceSets.test.runtimeClasspath  }   The same main should be referenced in the application plugin, a task to create a .zip distributable is needed.  Ideally would be nice to  1. download .zip 2. unzip 3. cd spring-xd/bin 4. xdserver start   and gracefully shutdown later with   5. xdserver stop  I don't know if we can/should bundle redis, I think we should bundle it.  The scripts can be for unix/linux and for windows.    Discuss a brew based install as well. ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-62","05/13/2013 10:02:00",5,"Use the tuple data structure to process data in a spring batch step  ""Do not require a POJO in order to do end-to-end processing in a batch step.""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-65","05/13/2013 10:26:16",2,"Gemfire Sink to update a gemfire cache. ""Update a gemfire region.""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-67","05/14/2013 13:06:23",8,"Submit a brew-based install for Spring XD ""- Host the Spring XD distributable zip somewhere that is accessible by external http request. - Create brew formula for Spring XD install while specifying redis as dependency.  - starting up stream server upon successful brew install  couple of questions: - should we name the brew task springxd? (name not taken yet) - should we start the stream server as part of the brew install process? - should we specify redis as a recommended dependency? user can pass in 'brew install springxd --without-redis' to skip redis installation. by default, 'brew install springxd' will install redis as well.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-68","05/16/2013 23:46:42",8,"Export of data from HDFS to a relational database ""Based on a single process running a Spring Batch job, support the ETL of data from HDFS to a RDBMS""","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"XD-69","05/16/2013 23:47:47",5,"Export of data from HDFS to MongoDB ""Based on a single process Spring Batch job, ETL of data from HDFS to MongoDB.""","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"XD-71","05/17/2013 01:34:15",1,"Remove UUID from Tuple class or replace with more efficient implementation ""The Java UUID class is known not to be the fasted implementation available.   See https://github.com/stephenc/eaio-uuid and http://mvnrepository.com/artifact/com.eaio.uuid/uuid for high perf impls.  ""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-72","05/17/2013 09:24:13",5,"Provide a http source ""stream should be able to ingest data from http ""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-100","05/20/2013 23:28:13",2,"Rename Tuple class in spring-xd-tuple ""The Tuple classes in Reactor follow the more traditional data structure concept of Tuples, an immutable fixed length sequence of values where each value can have different types.  They are ordered and can often be access by index.  An example in a static language is the Tuple class found in .NET http://msdn.microsoft.com/en-us/library/system.tuple.aspx or in Scala http://www.tutorialspoint.com/scala/scala_tuples.htm  Using this standard definition of a Tuple, they do not support named values.  There is also a different tuple class instance for each length, e.g. Tuple<T1,T2>, Tuple<T1,T2,T3>.  The Tuple class in XD is more like a record or named tuple.   Python has a named tuple concept - http://docs.python.org/2/library/collections.html#collections.namedtuple  and http://stackoverflow.com/questions/1490413/languages-that-allow-named-tuples shows that other languages use the term 'Record' for a 'named tuple' - Haskell, Standard ML, OCaml, and F#.  http://en.wikibooks.org/wiki/F_Sharp_Programming/Tuples_and_Records#Defining_Records  So boiling it all down, to avoid conflicts of names, and also to open up the possibility of using Reactor tuples as keys (instead of strings for names), we should change the name to either NamedTuple or Record.  ATM, there is no direct relationship between Reactor's Tuple and NamedTuple (such as inheritance) and so probably Record is the way to go.   ""","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-102","05/22/2013 23:35:26",1,"Create XDContainer class to start stream server ""Provide optional command line arg to embed the container launcher, aka - xd-admin server.    XDContainer.sh --embeddAdmin""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-103","05/22/2013 23:37:24",1,"Create XDAdmin server to start container launcher ""This will launch the RedisContainerLauncher, in future will be able to select from a variety of middleware options.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-104","05/23/2013 00:37:43",1,"Add README to be included in root directory of distribution ""should explain basic layout of the distribution""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-105","05/23/2013 00:38:49",1,"Add LICENSE to be included in root directory of distribution ""should contain apache licence""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-106","05/23/2013 01:22:03",1,"Container server does not log a message that it has started or stopped successfully ""$ ./xd-container  processing module 'Module [name=file, type=sink]' from group 'tailtest' with index: 1 processing module 'Module [name=tail, type=source]' from group 'tailtest' with index: 0   Logging of 'processing module' should have log level, time..""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-108","05/23/2013 01:27:49",1,"Build script should not package 'spring-xd-dirt' scripts  ""We are packaging separate scripts to start XDAdmin and XDContainer.  The Gradle application plugin will generate an unwanted 'spring-xd-dirt' scripts, this should be removed from the bin directory when creating a distribution zip.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-111","05/23/2013 09:39:54",5,"Create final distribution zip across multiple projects ""The final directory structure should look like  <install-dir>/xd <install-dir>/redis <install-dir>/gemfire  inside the XD directory   /xd/bin - which has xd-container and xd-admin scripts /xd/lib  inside the gemfire directory /gemfire/bin - has the gemfire-server script /gemfire/lib   inside the redis directory is   /redis/redis-latest-v.x.y.z.tar /redis/README /readis/install-redis  - script that does the basic 4 commands to install redis.   There should be a gradle task that runs after the distZip task, that will take the contents of different project directories, script diretories and 'redis-binary' directories and creates the final layout for the distribution.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-114","05/23/2013 12:38:32",2,"Add install script for Redis ""This assumes the redis source tar is available under $rootDir/redis/redis-2.6.13.tar.gz  The install script does the following:  - Check the platform OS & arch - unzip the tar, compile the sources""","",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-117","05/23/2013 13:36:27",1,"add spring-integration-groovy to container dependencies ""This will enable the use of groovy scripts within modules.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-119","05/23/2013 15:22:22",1,"HDFS sink should default to hdfs://localhost:8020 ""The current default is hdfs://localhost:9000 but most new distributions/installs use 8020""","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"XD-122","05/24/2013 17:19:59",2,"XD scripts need to have spring-integration milestone versions updated ""Spring-integration version is changed to 3.0.0.M2 and since we manually create the XD scripts, they still point to the 3.0.0.BUILD-SNAPSHOT version.  As discussed, we also need to have a better strategy on updating the lib directory inside the XD scripts.""","",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-123","05/24/2013 17:41:26",3,"XD scripts lib path needs to be dynamic ""We currently have the manually created XD scripts. This makes it difficult to maintain as the lib path is error prone with the changes. We need to make sure that the properties such as lib path etc., are dynamically updated.""","",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-124","05/28/2013 07:58:40",2,"Clean shutdown of redis in xd-container ""Need to shutdown cleanly, no exception messages are shown.  Order of components in the stream should be shut down from 'first to last'  (opposite of creation)""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-126","05/28/2013 08:33:40",2,"Documentation for sources, sinks, modules should define which attributes are required and which optional ""This will eventually be supplied by the admin server, but for now write it up by hand in the documentation""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XD-128","05/28/2013 08:36:05",3,"Create TCP sink module ""Based off SI tcp inbound adapter.  This will allow for event fowarding.""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-132","05/28/2013 10:47:39",8,"Profile support for modules ""To allow for groups of beans to be defined or not in the container that runs a module.  When deploying a stream (e.g. via the REST API), it should be possible to also provide profile names. Then those would apply to any modules within that particular stream deployment.""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-133","05/28/2013 10:53:20",1,"Fail Sonar CI build if there are any package tangles violated. ""Similar to what would show up on structure101 reports.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-134","05/28/2013 10:59:31",2,"Investigate link checking tool for user guide ""Asciidoc/doctor might have one as part of it toolchain""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XD-136","05/28/2013 11:03:29",3,"Documentation that points on how to install hadoop ""Pointers to other documentation on how to install hadoop. ""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XD-139","05/28/2013 11:33:26",2,"Update README.txt to include instructions on how to build ""Building XD should not be part of the out first out of the box experience, but we should include some instructions on what targets are available, such as distXD.""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XD-140","05/28/2013 12:32:46",2,"Parameterize syslog Source; Add Support for TCP ""The syslog source currently is hard-coded to use udp on port 11111.  Need to parameterize the port and provide an option to use TCP.""","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-141","05/28/2013 13:18:17",1,"install-redis script should not use relative path to determine redis source dist ""Currently, the install-redis script uses relative path to determine redis source  dist file. Since this is error prone, we need to fix it.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-142","05/28/2013 15:11:05",8,"StreamServer Context Lifecycle Issues ""The {{ModuleDeployer}} calls {{getBeansOfType}} before the context has had its {{PropertySourcesPlaceholderConfigurer}} attached. This can cause issues with {{FactoryBean}} s with placeholders in constructor args because the unresolved placeholder is used when the {{FactoryBean}} is pre-instantiated to determine the type of object it will serve up.""","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-143","05/28/2013 16:26:55",3,"Create externalized property file to support connectivity to redis ""We need to have an externalized property file(under xd/conf/) for the xd-container & admin scripts to use as options. ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-146","05/29/2013 12:14:17",0,"Change TCP Source/Sink to Use Profiles ""Currently, the TCP source/sink use specific beans for the serializer/deserializer options; when profiles are available, they should be used to avoid having to declare a bean of each type.""","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-147","05/29/2013 12:45:24",2,"Remove use of application plugin for redis project ""Currently redis project uses application plugin to bundle distribution. This also includes 'java plugin' which causes java specific build behavior on this project. We should try removing the use of application plugin and use something similar or custom tasks that does the bundling. ""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-150","05/30/2013 00:06:37",2,"Publish Spring XD final distribution zip as part of Bamboo artifactory plugin ""Currently, Bamboo's gradle artifactory plugin has the artifacts configured to projects target(build) directory 'archives'. We need to have a way to set the final distribution archive as one of the gradle 'configurations' in our build.gradle and refer it inside bamboo artifacts.""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XD-151","05/30/2013 08:17:45",2,"Add Redis binaries for Windows ""Presently, Spring XD does not ship Windows binaries for Redis. However, Microsoft is actively working [1] on supporting Redis on Windows. You can download Windows Redis binaries from:  https://github.com/MSOpenTech/redis/tree/2.6/bin/release   [1] http://blogs.msdn.com/b/interoperability/archive/2013/04/22/redis-on-windows-stable-and-reliable.aspx""","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
