"issuekey","created","title","description","storypoint"
"DURACLOUD-8","01/04/2010 15:22:06","Properly implement getSpaceContentsChunked() in EMC storage provider","The EMC storage provider interface does not currently support paging the list of content items within a directory (in order to retrieve a partial list for each request) so the StorageProvider getSpaceContentsChunked() method does not function properly. Once EMC provides the ability to chunk the content item listing, this method should be revisited.",0
"DURACLOUD-74","02/08/2010 21:37:02","Create EMC accounts for each pilot partner","In order to allow our partners to use EMC storage during the pilot we need to: 1. Create an EMC account for each partner 2. Add the EMC credentials to the DuraStore initialization for each partner",1
"DURACLOUD-97","02/19/2010 20:32:54","Updating the MIME type of a content item to an invalid MIME value causes errors","If you update the MIME type of a content item to an invalid value (such as image*jpeg) an exception is thrown: java.lang.IllegalArgumentException: Error parsing media type 'image*jpg'. The item can then not be accessed via the REST API (and consequently the UI). There should be a validation check in DuraStore (and DurAdmin) to make sure that the value provided as a MIME type is acceptable.",1
"DURACLOUD-131","04/21/2010 17:27:13","Update EMC libraries and re-introduce to baseline","The EMC storage provider is currently excluded from tests and use because of very inconsistent performance around the time that EMC was in the process of taking their storage service into production. They have, hopefully, addressed these problems. The client libraries for EMC need to be updated to the most recent version, our code needs to be updated to work with the latest libraries, and our the tests and use of the EMC provider needs to be re-enabled.",2
"DURACLOUD-140","04/23/2010 19:12:45","Error viewing files in DurAdmin space listing","To replicate: Add the attached file (which includes a + in the file name) to a space. View the space using DurAdmin. The request appears to fail to get metadata for the new file, so its link is removed and replaced with: Unable to complete request: status (200)  If you click on the link before it disappears, everything appears as it should, the metadata is displayed, and the file can be viewed or downloaded.  Note that this problem appears to occur when any of these characters show up in the contentID: +,"", #, %, &  So a couple of questions here: - What's causing the failure when retrieving metadata? - Why does the link to the item disappear when the metadata can't be retrieved?  As a side note, if you select a content item to view on the space page before the metadata for all content items has loaded, all content items in the list turn into error messages. The content page loads shortly after this, so things get back to normal, but it may appear to a user that they have done something wrong by clicking on a content link.",2
"DURACLOUD-149","05/04/2010 18:00:02","ServicesAdmin: Clear registered services","This improvement should provide a RESTful means of clearing the ""registered services"" from servicesadmin's cache. This would facilitate bringing duraservice and servicesadmin back into sync.",3
"DURACLOUD-150","05/04/2010 21:52:30","DurAdmin: Warning on overwrite","When using DurAdmin, users should be notified when adding a content item will overwrite an existing file.",1
"DURACLOUD-155","05/25/2010 04:06:03","Project Version in batch scripts","This issue is a follow-on to DURCLOUD-10 which enabled true project version numbers in the DuraCloud baseline. This issue is to enable those version numbers to be ""sourced"" from a common .bat file (ala /resources/scripts/osgi/env.sh & /services/j2kservice/run-deps.sh)",1
"DURACLOUD-161","06/15/2010 18:08:30","Transition to using S3 Reduced Redundancy Storage for all pilot S3 storage","Transition all current S3 objects to use RRS. Update the S3StorageProvider to use RRS as the default. One way to do this would be to add a task which sets a flag within the S3StorageProvider indicating the preferred storage setting for S3.",3
"DURACLOUD-163","06/22/2010 14:15:08","Add config element for duraservice service-registry store credentials","This item should add a new config element to duraservice for the username/password needed to get services from the dcprod service-registry store. Currently these credentials are coming from the hijacked config elements: duraservice.service-compute.username duraservice.service-compute.password ",1
