"issuekey","created","title","description","storypoint"
"FAB-30","08/11/2016 19:32:40","Endorser simulation of transactions.","Story: Developer needs the ability to gain signatures from endorsers as defined by a policy by simulating a transaction without writing to the ledger create, so that they can submit a transaction.    Endorsers simulate tx with state and reply with rw set of all keys that were modified.    A submitter composes a transaction consisting of [header, payload, rw-set] where rw-set is the set containing the state variables that the transaction reads from (read-set) and the state variables that the transaction writes to (write-set). The rw-set is created via transaction execution simulation (not writing to database). This simulation is also done by the endorsers of the transaction to fulfill the endorsement policy of the transaction.",2
"FAB-149","08/17/2016 15:45:27","BFT Orderers need to sign batches","BFT orderers have to provide signatures so that validator peers can use the set of signatures to accept validity of a batch without having to connect to f+1 orderers.    All orderers already sign with their own key.",2
"FAB-192","08/20/2016 11:56:13","Ledger advanced simulation: As a consumer of the ledger APIs (Endorser peer chaincode), I need the ability to manipulate keys in various ways, so that I have flexibility in chaincode to get and set the state I need","- Implement QueryExecutor.GetStateRangeScanIterator()    - Implement QueryExecutor.GetStateMultipleKeys()    - Implement TxSimulator.DeleteState()    - Implement TxSimulator.SetStateMultipleKeys()",2
"FAB-196","08/20/2016 12:11:34","Ledger APIs to query Blocks/Transactions, including rich query and history of key values","- Ledger APIs have been implemented and need to be exposed to SDK:    -- GetBlockchainInfo    -- GetBlocksByNumber    -- GetBlockByNumber    -- GetBlockByHash    -- GetTransactionById    -- ExecuteQuery    ",8
"FAB-200","08/20/2016 12:27:10","Ledger simple provenance: I want to see the full history of key values across time","Querying for full history of keys will require a new history database. See attached slides for details.",8
"FAB-254","08/26/2016 20:00:01","node.js SDK - add API to send endorsed deployment transaction to orderer","This initial phase is to send to an orderer based on SOLO. The API should take a proper parameter assembled from the returned data of the sendDeploymentProposal() call, and send to the orderer for consensus, which will then deliver to committers for validating and committing to ledger.    Note that the event notification on transaction ""complete"", ""error"" will be tracked separately.",8
"FAB-277","08/31/2016 01:36:29","Enable power node in Jenkins CI","@bsmitha requested us to setup Power node in Jenkins CI.",2
"FAB-318","09/07/2016 19:59:37","[node-SDK] Technical debt","This will help with creating a cleaner workspace for node.js developers working on the node.js SDK, and eliminate sub-optimal parts that are prone to breaks:  - build scripts that does -g installs  - reliance on vagrant  - ""make"" based build scripts are not best suited for node.js development",8
"FAB-325","09/08/2016 21:09:24","Create Rawledger API","Create a Rawledger API which can be used by any orderer.    This should also cover moving the ramledger implementation of Solo out into its own package, and converting solo to depend on the new abstraction.",2
"FAB-349","09/12/2016 11:33:23","Control rockdb logging","Fabric peer uses default configurations for logging RocksDB - which produces massive logs in the LOG files. For better managing RockDB logs, RocksDB allows setting following logs related properties  - 1) max_log_file_size, 2) keep_log_file_num, and 3) info_log_level    Though a newer version (4.3) of RocksDB allows loading properties from an `ini` file (https://github.com/facebook/rocksdb/wiki/RocksDB-Options-File) - gorockdb package is yet to catch up for exposing this option into golang.    Current possibility is to expose these configs into core.yaml and programmatically set these on RocksDB options while opening the DB. ",1
