"issuekey","created","storypoint","context","codesnippet","t_Bug","t_New.Feature","t_Story","t_Epic","t_Improvement","t_Technical.task","t_Sub.task","c_APIDoc","c_Guides","c_Tooling","c_Cloud","c_360","c_Stratus"
"TIDOC-266","12/26/2011 05:32:25",1,"APIDoc: Provide list of supported audio/sound filetypes/codecs Add list, or link to a list (per platform), of supported filetypes/codecs to [Titanium.Media.Sound|http://developer.appcelerator.com/apidoc/mobile/latest/Titanium.Media.Sound-object.html].    Be certain to do so for playing and recording sound, if the support differs.","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-88","12/28/2011 17:23:47",1,"APIDoc: validate.py doesn't run properly from windows console When running validate.py from the windows command line, an exception is thrown because the checkmark character is outside the extended ascii character set supported by the windows console.    We should probably detect if we're running on windows and avoid the fancy formatting (colored text and checkmarks).","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-507","01/10/2012 21:04:22",1,"Android: Inconsistent Slider floating point value h3.Issue  Android slider cannot have a floating point value (as seen in the screenshot below is converted to nearest whole number).    h6.Tested on  Android emulator 2.2  LG Ally device 2.2.1    h6.Expected results  Slider value be 1.5    h6.Unexpected results  Slider value is 1.0    h6.Repro sequence  {code:title=app.js}  var win = Ti.UI.createWindow({          backgroundColor: '#cccccc'  });     var slider = Ti.UI.createSlider({          height: 'auto',          max: 3,          min: 0,          top: 24,          value: 1.5,          width: 300,          color: '#6699cc'  });     slider.addEventListener('change', function(e) {          alert(e.value);  });     win.add(slider);     win.open();  {code}","  var win = Ti.UI.createWindow({          backgroundColor: '#cccccc'  });     var slider = Ti.UI.createSlider({          height: 'auto',          max: 3,          min: 0,          top: 24,          value: 1.5,          width: 300,          color: '#6699cc'  });     slider.addEventListener('change', function(e) {          alert(e.value);  });     win.add(slider);     win.open();  ",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-240","01/18/2012 09:53:03",8,"Guides: Need to document iCloud features and Ti Appcelerator h4. PROBLEM DESCRIPTION  The community has several questions about how to interact with icloud and their Ti Appcelerator apps. Common questions:    - How to use icloud?  - How to hide stuff from icloud?  - Where to put a db?  - What if I want that db to be synced with icloud?  - How to force a restore after a reinstall of the app?    Would be nice if we have an entry in the wiki or a blog post where we post how we handle icloud stuff.  ","",1,0,0,0,0,0,0,0,1,0,0,0,0
"TIDOC-403","02/21/2012 13:22:38",0,"Android: provide better explanation of garbage collection The following code should release all memory/objects but doesn't on Android. You can use DDMS to watch memory & # objects grow with repeated launches of the app. Code is a simplified version of that posted in [this Q&A thread|http://developer.appcelerator.com/question/132357/memory-leaks-on-android-but-not-on-ios---very-simple-test-case]        Per customer, memory is released fine on iOS.","  (function mainViews() {       var views =[];        var view = null;      for (var i=0; i < 1000; i++) {          view = Titanium.UI.createView();          views.push(view);      }      views = null;        view = null;  }());  ",1,0,0,0,0,0,0,0,1,0,0,0,0
"TIDOC-454","03/15/2012 11:49:46",13,"APIDoc: Clarify the use and purpose of Window.modal Window.modal is something of a ""magic"" property that behaves differently depending on context on iOS (is a tabgroup open or not, etc), but is not context-sensitive on Mobile Web (Android behavior is unknown). These differences need to be described clearly in the docs for Window, TabGroup, and potentially other locations.","",1,0,0,0,0,0,0,0,1,0,0,0,0
"TIDOC-2563","03/19/2012 22:35:07",1,"Tooling: docgen.py: Some Dictionary types are not being output This relates to types that take the form: Array<Dictionary<type>>     I thought this was fixed, but I've found a case where it isn't working. The TableView.data property takes the following types:              type: [ Array<Titanium.UI.TableViewRow>, Array<Dictionary<Titanium.UI.TableViewRow>>, Array<Titanium.UI.TableViewSection> ]      However, the second type is not appearing in the output:    Array<Titanium.UI.TableViewRow> or Array<Titanium.UI.TableViewSection>    Strangely, similar types are coming out correctly in the HTML generator for TableView.appendRow:    Titanium.UI.TableViewRow or Dictionary<Titanium.UI.TableViewRow> or Array<Titanium.UI.TableViewRow> or Array<Dictionary<Titanium.UI.TableViewRow>>          ","",1,0,0,0,0,0,0,0,0,1,0,0,0
"TIDOC-721","03/27/2012 07:41:40",1,"There is two links in the TOC refered to the same anchor E.g. http://apidoc.appcelerator.dev/#!/guide/Installing_and_Updating_Android_SDK page has two links: ""Software Locations"" and  ""Installing Android SDK Manager"" in TOC  -> Installation -> Windows that refer to the same links anchor in TOC  -> Installation -> OSX. The links should be refered on the own anchor.","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-562","03/27/2012 16:41:41",2,"Android: Ti.UI.TableView.backgroundSelectedColor doesn't work *Code*  http://pastebin.com/Mgk90jrd    *Problem*  I'm not sure if this is a platform bug or more of a documentation bug, but when you set a color to Ti.UI.TableView for the backgroundSelectedColor property, it doesn't seem to affect the app in any way. If you set the same property to Ti.UI.TableViewRow objects, it seems to work as documented.     So I'm not sure if this is a product bug and should work with either of the properties (and overwrite one over the other) or if the documentation is not correct instead. Please edit ticket as appropriate.    *Notes*  -Only tested on a HTC Sensation, running 2.3.x","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-605","04/11/2012 13:04:07",1,"Android: Being able to configure the menu for the barcode reader h4. Problem Description  Loading the module overwrites the native Android menu, this breaks the app in my case. Would also be great if that would be configurable.    h4. HD discussion  http://support-admin.appcelerator.com/display/APP-635179","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-822","04/20/2012 15:56:46",1,"TiDuck: Video data should update It appears that the current video tab is based on a static JSON file. We should determine a way to refresh the video data periodically without having to rebuild the entire site.","",0,1,0,0,0,0,0,0,0,1,0,0,0
"TIDOC-618","05/03/2012 10:24:06",1,"APIDOC: Incorrect return type for ImageView.toBlob() [http://docs.appcelerator.com/titanium/2.0/index.html#!/api/Titanium.UI.ImageView-method-toBlob]    Description says it returns a blob, ""Returns"" says it returns void.","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-671","06/13/2012 15:47:37",3,"Android: Document (article/wiki) Android application restart scenarios We need to document for the community what happens in the two Android ""restart"" scenarios:    * When a backgrounded application is killed off completely by Android to gain back memory.  We auto-restart in this scenario because Android tries to show the most recent top activity first whereas we need to go through the root activity startup.    * When a backgrounded application is left inactive (for about 30 mins) and Android, upon reopening the app, kills off activities above the root activity (i.e., the root activity re-appears).  we have ti.android.root.reappears.restart tiapp setting for this, but it is undocumented in the tiapp.xml reference.  Document also that an alternative is to add event listener to ""resume"" and redo the application startup logic.  see my comments in timob-9229 re that","",1,0,0,0,0,0,0,1,1,0,0,0,0
"TIDOC-839","08/27/2012 16:34:22",8,"Document requirements for debugging on device (iOS and Android) Create a wiki page that lists:    * Curent pre-requisites for debugging on device  * Known common problems and ways to resolve them  * Use cases and workflows for iOS and Android. Some examples:  ** Device doesn't connect the first time. Timeout and reconnect option?  ** Network connection drops altogether. Currently there is no reconnect option as part of the protocol  ** Itunes not set up correctly.  ** Network not set up to support broadcast (http://en.wikipedia.org/wiki/Broadcasting_(networking))  ** IPv6 does not support broadcast, and instead supports multicast: http://en.wikipedia.org/wiki/IP_multicast. if we are using Bonjour, perhaps this is fine (see http://www.cisco.com/en/US/products/hw/wireless/ps4570/products_tech_note09186a0080bb1d7c.shtml)  ** ADB fails to connect    The document should suggest the areas in which our implementation is currently lacking, and the ways in which we can improve the experience.","",0,0,1,0,0,0,0,0,1,0,0,0,0
"TIDOC-794","09/12/2012 10:37:01",1,"APIDoc: Default value for TextField.autocorrect is wrong Doc says the default is false. It appears to be true.    Note that as of 2.1.2, iOS and Mobile Web _return_ false as the default, and Android returns undefined, but all behave as if autocorrect == true.","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-833","10/03/2012 00:50:59",3,"APIDoc: Platform support for backgroundSelectedImage, etc., on Ti.UI.Button is wrong There are a few errors in here as a result of our partial inheritance changes.    Fix 'em! And spot check other view classes for the same problem.","",1,0,0,0,0,0,0,1,0,0,0,0,0
"TIDOC-842","10/04/2012 17:07:56",0,"Support localization of documentation This ticket covers all tool modifications required to support localization, including:    - Ensuring all tools work with unicode characters.  - Extracting localizable strings from the doc toolchain (docgen, generators, JSDuck).  - Add tools for generating localization files (XLIFF or similar).  - Any modifications necessary to serve multiple locales (e.g., in docgen or the web site).    It does not cover any changes in Studio or other tools to supply locale-specific versions (of doc, JSCA, etc.).    ","",0,0,0,1,0,0,0,0,0,1,0,0,0
