"issuekey","created","storypoint","context","codesnippet","t_Bug","t_Story","t_Improvement","t_Epic","t_Technical.task","c_PyDev","c_Terminal","c_Editor","c_Project.Explorer","c_Content.Assist","c_Usability","c_PHP","c_JS","c_Ruby","c_Publishing","c_Build","c_Validation","c_App.Explorer","c_Source.Control","c_Debugging","c_Update","c_Testing","c_Outline","c_CSS","c_HTML","c_Colorization","c_Preview","c_Navigation","c_File","c_Scripting","c_Documentation","c_Formatting","c_Installer","c_XML","c_Indexing","c_Folding","c_Project","c_Theme","c_Hover","c_Performance","c_Servers","c_Parsing","c_Samples","c_JS.Libraries","c_Analytics","c_CoffeeScript","c_Templates"
"APSTUD-6446","06/05/2006 18:15:21",0,"Preferences dialog too large At a resolution of 1024x768 some of the preferences are inaccessible. Notably, the main Pydev and the Pylint sub item contain preferences that go off the bottom off the dialog and are not accessible.  These dialogs should probably be reorganized. Having too many settings on a dialog may be unwise in any case.","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-23","06/08/2011 02:56:21",8,"Aptana tries to open a new instance of itself when opening files via Windows Explorer {html}<div><p>Assigned to <a href=  ""http://aptanastudio.tenderapp.com/discussions/problems/49-aptana-tries-to-open-a-new-instance-of-itself-when-opening-files-from-win-explorere"">  Tender issue #49</a>. As reported in Tender:</p>  <blockquote>  <p>OS: Win XP</p>  <p>When Aptana is running and I try to open files from my Windows  Explorer (with double click or enter) Aptana displays ""Workspace in  use or cannot be created, choose a different one"" after showing the  splash screen for 2-3 seconds.</p>  <p>Dragging files into my running instance won't cause this  behavior. Opening files from my Project view causes no problems,  except .htaccess files. As a temp solution I chose to open  .htaccess files with Notepad.</p>  <p>This is what I already did (with no luck);</p>  <ul>  <li>My installation folder and workspace folder are both  writable.</li>  <li>I did several complete re-installs.</li>  <li>I removed the .lock file in my workspace folder.</li>  <li>I created a new workspace folders and switched to it.</li>  <li>I have administrator rights.</li>  </ul>  <p>Creating a new workspace will fix my problem temporary but the  problem is back within a week.</p>  <p>In Aptana 1.2 I never saw a splash screen when Aptana was  running and I opened another file. The files were just loaded in  the running instance. Is this caused by Eclipse 3.5?</p>  <p>This is quite annoying cause every time the splash screen shows  it either takes up 3 seconds of the file won't open due to the  locked workspace.</p>  </blockquote></div>{html}","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-99","06/08/2011 02:57:23",8,"Content assist popup is shown outside the screen boundaries As you can see from the image, the JavaScript content assist popup displays outside the screen boundary to the right.  ","",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-190","06/08/2011 02:58:33",13,"PHP Autocompletion for parent methods When you overwrite a parent method you often need to call it from the new method, example:        Aptana does not autocomplete the methods after ""parent::""    Suggested fix:    # Attempt to replicate  # Check to see if the item is fixed in 5.4, or in a newer version of the 5.3 parsers  # If not in our code and can't be fixed, link to PDT issue referencing the problem","  <?php    class Parent {     public function doSomethingHard() {  }  }    class Child {     public function doSomethingHard() {            $this->bla = 'foo';            return parent:: # content assist here should have doSomethingHard()    }  }    ?>  ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-612","06/08/2011 03:06:33",8,"Redraw error when using JS snippet {html}<div><p>This may actually be an issue with my VM, but I'm posted this in  case it's indicative of some other issue.</p>  <ol>  <li>Open a JS editor<br></li>  <li>type: for<br></li>  <li>type a tab<br></li>  <li>Allow enough time to pass so that the popup appears next to the  two ""for"" snippets that are available<br></li>  <li>type: 2</li>  </ol>  <p>At this point, the two popups go away but I see trash further  down the screen. That trash moves as I add/remove lines.</p></div>{html}","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-769","06/08/2011 03:10:37",40,"PHP Debugger This is something that was shipped with 1.5 (skipped out on 2.0 so don't know if it's there). Don't know if this is planned for 3.0 (on the product page I've seen that JS debugging is coming soon),  yet it would be great if this were to be found into Aptana again (same goes for the ability to run a script through the PHP parser to get the output).    I've found the debugger to be one of the main Aptana features I use during my lectures (I'm a lecturer at a technical university), helping the students to understand what's going on on ""the inside"" of a PHP process.","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-814","06/08/2011 03:12:01",13,"Option to remove trailing whitespace on file save Eclipse PDT provides the option to have trailing whitespace automatically removed from files on save (i.e. from the end of a line where it has no impact).    Is it possible you could add this useful feature?","",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-832","06/08/2011 03:12:32",8,"Find dialog cause text selection to ""invert"" colors This is what happens:    # I select some text - I open the find/replace dialog (I press CTRL+F then click on the magnifier icon in the search bar)  # At this point the selection is gone (like it is ""inverted"" or something similar), so the option to find/replace only in selected line is useless.    I'm on the latest build (win7) and never experienced this before. The error log is clean.","",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-1507","06/08/2011 03:23:51",0,"Enable multi-line search in find bar There's _still_ no multi line search/replace! Now I know there's the DRY principle that any good coder should utilize. But there's just tons of situations where it's needed.    Like wireframing/prototyping where the DRY principle is practically not applicable. Also searching other's code for a specific line is much easier if you can just paste a chunk of code into the search bar. You know - tutorials - that some of us have to do to stay on top.    In the meantime, you'll have to use regular expressions (use \R for carriage returns). Longer-term, suggest modifying the find bar to allow for a ""multi-line"" option.    Proposed spec: https://wiki.appcelerator.org/display/guides2/Multiline+Search+and+Replace","",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-1698","06/08/2011 03:27:54",5,"No file system is defined for scheme From the log file:    ","  !ENTRY org.eclipse.core.filesystem 4 566 2011-02-08 22:01:00.387  !MESSAGE No file system is defined for scheme: reference  ",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-1839","06/08/2011 03:30:26",5,"Allow to open a closed project by double-clicking on it in Project Explorer {html}<div><p>I have the latest Aptana 3 installed. I have the preference  selected to open projects with double click, it doesn't work. I  switched it to single click, same result, didn't work.</p>  <p>Let me know if you need more information!</p>  <p>Thanks,<br>  Jason</p></div>{html}","",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-1889","06/08/2011 03:31:29",5,"The editor find toolbar interrupts certain keyboard shortcuts Scenario:  You have several tabs open, and the cursor/focus is somewhere within the ""Find"" toolbar that appears at the bottom of the screen (shortcut = Cmd+F).    Steps to reproduce:  1. Open a file in the studio editor.  2. Open the find toolbar (CMD+F).  3. With focus in the toolbar press CMD+tab.    Expected behavior:  User should be able to use OS keyboard shortcuts while in Studio.    Actual behavior:  Keyboard shortcuts do no work while focus is on the find toolbar.    Note:  This also happens for the Open Resource shortcut (CMD+T) and the Close Window shortcut (CMD+W).","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2286","06/08/2011 03:39:24",8,"Implement improved terminal hyperlink detection On terminal windows with a long history of output (a couple pages), scrolling up with the mouse wheel will jump back down once it reaches a certain point. However, if you manually drag the scroll bar up, you can see history beyond the jumping point. I've seen this reproducible on Allen's machine when you tail rails logs. You can see similar symptoms in the attached movie.    A short investigation showed that the issue relates to the implementation of hyperlink detection in Terminal. Disabling hyperlink detection eliminates the issue.    Suggested fix: Re-implement hyperlink detection code to make it free of scrolling/drawing issues.","",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2573","06/08/2011 03:45:01",1,"Pydev local import quick fix does not condense imports from same file {html}<div><p>To reproduce:</p>  <pre>  <code class=""python"">class Eggs(object):    def spam():      from string import Template      return Template('') + digits # Press CTRL+1 on this line. Hold down CTRL while selecting from string for 'string.digits'</code>  </pre>  <p>result:<br></p>  <pre>  <code class=""python"">class Eggs(object):    def spam():      from string import Template    from string import digits      return Template('') + digits</code>  </pre>  <p>expected:<br></p>  <pre>  <code class=""python"">class Eggs(object):    def spam():      from string import Template, digits      return Template('') + digits</code>  </pre></div>{html}","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2691","06/09/2011 07:46:34",20,"Add F2 support for Content Assist Hover F2 should pop up the content assist tooltip, or if hovering over content, F2 will provide focus.","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APSTUD-2752","06/15/2011 14:18:11",8,"Support Ruby Watch Expressions Support watch expressions in ruby. Looks like we can just port the RDT impl over easily. It's a single class with a couple nested classes in it, and it gets registered via a debug.core extension point.","",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
